GuessSync BIRDS2 - "Guess the Bird v2" - Image Attributions
100 real bird photos sourced from Wikimedia Commons / Wikipedia.
All images are Public Domain, CC0, CC BY, or CC BY-SA. Files under CC BY / CC BY-SA
require crediting the author + license; the lines below satisfy that requirement.
Generated 2026-07-12. Format:  slug | name | author | license | source

american-crow | American Crow | Unknown | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Corvus-brachyrhynchos-001.jpg
european-starling | Starling | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Common_starling_(Sturnus_vulgaris)_breeding_male_Marken.jpg
emu | Emu | JJ Harrison (https://www.jjharrison.com.au/) | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Emu_1_-_Tidbinbilla.jpg
king-penguin | King Penguin | Godot13 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:SGI-2016-South_Georgia_(Fortuna_Bay)%E2%80%93King_penguin_(Aptenodytes_patagonicus)_04.jpg
white-stork | White Stork | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:White_stork_(Ciconia_ciconia)_Bia%C5%82owieza.jpg
great-white-pelican | White Pelican | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Great_white_pelican_(Pelecanus_onocrotalus).jpg
herring-gull | Herring Gull | Rhododendrites | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:European_herring_gull_vocalizing_(00170).jpg
common-cuckoo | Common Cuckoo | Andy Morffew from Itchen Abbas, Hampshire, UK | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Cuckoo_(51169010335).jpg
common-blackbird | Blackbird | Andreas Trepte | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Common_Blackbird.jpg
great-tit | Great Tit | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Great_tit_(Parus_major)_Heligan.jpg
eurasian-collared-dove | Collared Dove | stevem4560 | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:2022-04-06_Streptopelia_decaocto,_Plovdiv,_Bulgaria_1.jpg
common-wood-pigeon | Wood Pigeon | Bengt Nyman from Vaxholm, Sweden | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Columba_palumbus_EM1B1397_(27445478998).jpg
greylag-goose | Greylag Goose | Diliff | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Greylag_Goose_-_St_James%27s_Park,_London_-_Nov_2006.jpg
eurasian-coot | Coot | Alexis Lours | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Eurasian_Coot_2023_11_25_03.jpg
grey-heron | Grey Heron | Alexis Lours | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Grey_heron_2022_03_18_01.jpg
common-chaffinch | Chaffinch | caroline legg | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Male_Chaffinch_-_Fringilla_coelebs.jpg
house-finch | House Finch | Rhododendrites | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:House_finch_(33688)2.jpg
mourning-dove | Mourning Dove | JeffreyGammon | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Av_Mourning_Dove_JG.jpg
red-winged-blackbird | Red-winged Blackbird | Chuck Homler, Focus On Wildlife | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Red-Winged_Blackbird.png
turkey-vulture | Turkey Vulture | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Turkey_vulture_(Cathartes_aura)_Orange_Walk.jpg
osprey | Osprey | Chuck Homler / Focus On Wildlife | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Osprey_Perched_Snag_Heislerville.jpg
peregrine-falcon | Peregrine Falcon | Mykola Swarnyk | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Falco_peregrinus_m_Humber_Bay_Park_Toronto.jpg
golden-eagle | Golden Eagle | Giles Laurent | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:015_Wild_Golden_Eagle_in_flight_at_Pfyn-Finges_(Switzerland)_Photo_by_Giles_Laurent.jpg
great-cormorant | Cormorant | MPF | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:2021-05-05_Phalacrocorax_carbo_carbo,_Killingworth_Lake,_Northumberland_1-1.jpg
black-swan | Black Swan | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Black_swan_(Cygnus_atratus)_Scottsdale.jpg
gentoo-penguin | Gentoo Penguin | Godot13 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Brown_Bluff-2016-Tabarin_Peninsula%E2%80%93Gentoo_penguin_(Pygoscelis_papua)_03.jpg
african-penguin | African Penguin | Matti Blume | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Wikimania_2018,_Cape_Town_(_1050602),_crop.jpg
common-kestrel | Kestrel | Andreas Trepte | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Common_kestrel_falco_tinnunculus.jpg
red-tailed-hawk | Red-tailed Hawk | Becky Matsubara from El Sobrante, California | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Red-tailed_Hawk_(45812546121).jpg
great-spotted-woodpecker | Great Spotted Woodpecker | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Great_spotted_woodpecker_(Dendrocopos_major)_male_Drenthe.jpg
eurasian-bullfinch | Bullfinch | Francis Franklin | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Bullfinch_male.jpg
eurasian-jay | Eurasian Jay | Luc Viatour | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Garrulus_glandarius_1_Luc_Viatour.jpg
northern-mockingbird | Mockingbird | Rhododendrites | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Mockingbird_in_Bay_Ridge_(85082).jpg
baltimore-oriole | Baltimore Oriole | TonyCastro | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Baltimore_Oriole-_dorsum.jpg
cedar-waxwing | Cedar Waxwing | Judy Gallagher | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Cedar_Waxwing_-_Bombycilla_cedrorum,_George_Washington%27s_Birthplace_National_Monument,_Colonial_Beach,_Virginia_(39997434862).jpg
eastern-bluebird | Eastern Bluebird | Sandysphotos2009 | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Sialia_sialis_-Michigan,_USA_-pair-8c.jpg
common-nightingale | Nightingale | Warrieboy | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Luscinia_megarhynchos_-_Common_nightingale_-_Nachtegaal_(cropped).jpg
common-swift | Common Swift | Alexis Lours | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Common_Swift_2025_07_18_02_(cropped).jpg
common-tern | Common Tern | MPF | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:2014-05-18_Sterna_hirundo,_Killingworth_Lake,_Northumberland_04.jpg
black-headed-gull | Black-headed Gull | Hans Hillewaert | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Chroicocephalus_ridibundus_(summer).jpg
whooper-swan | Whooper Swan | Andreas Trepte | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Cygnus_cygnus_Singschwan.jpg
tufted-puffin | Tufted Puffin | Alan D. Wilson | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Tufted_Puffin_Alaska_(cropped).jpg
white-tailed-eagle | White-tailed Eagle | Bengt Nyman from Vaxholm, Sweden | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:NZ7_5265_(52812350718).jpg
northern-pintail | Pintail | J.M.Garg | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Northern_Pintails_(Male_%26_Female)_I_IMG_0911.jpg
northern-shoveler | Shoveler | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Northern_shoveler_(Spatula_clypeata)_male_Marken.jpg
great-crested-grebe | Great Crested Grebe | JJ Harrison (https://www.jjharrison.com.au/) | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Podiceps_cristatus_2_-_Lake_Dulverton.jpg
eurasian-nuthatch | Nuthatch | Isiwal | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Kleiber_Sitta_europaea-0447.jpg
goldcrest | Goldcrest | Francis C. Franklin | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Goldcrest_1.jpg
eurasian-skylark | Skylark | User:Diliff | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Skylark_2,_Lake_District,_England_-_June_2009.jpg
song-thrush | Song Thrush | Dion Art | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:%D0%9F%D0%B5%D0%B2%D1%87%D0%B8%D0%B9_%D0%B4%D1%80%D0%BE%D0%B7%D0%B4_%D0%BD%D0%B0_%D0%BF%D0%B5%D0%BD%D1%8C%D0%BA%D0%B5_(Turdus_philomelos),_%D0%91%D0%B8%D1%82%D1%86%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BB%D0%B5%D1%81.jpg
smew | Smew | Andreas Trepte | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Zwergsaeger_maenchen_weibchen.jpg
harlequin-duck | Harlequin Duck | Chuck Homler d/b/a Focus On Wildlife | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Drake_Harlequin_duck_(Histrionicus_histrionicus)_perched_on_a_rock_in_the_Barnegat_Inlet,_New_Jersey,_USA_(cropped).jpg
king-eider | King Eider | Ron Knight from Seaford, East Sussex, United Kingdom | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:King_Eider_(Somateria_spectabilis)_(13667616745).jpg
