GuessSync E65 - "Guess the Bread" - Image Attributions
100 real bread photos sourced from Wikimedia Commons / Wikipedia.
All images are Public Domain, CC0, CC BY, CC BY-SA, or FAL. Files under CC BY / CC BY-SA / FAL
require crediting the author + license; the lines below satisfy that requirement.
Generated 2026-07-11. Format:  slug | name | author | license | source
==========================================================================================
baguette|Baguette|jules / stonesoup|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Baguettes_-_stonesoup.jpg
ciabatta|Ciabatta|Vincent Talleu|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Ciabatta_cut.JPG
sourdough|Sourdough|Shisma|CC BY 4.0|https://commons.wikimedia.org/wiki/File:Herculaneum_loaf_2.jpg
pita|Pita|Satdeep Gill|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Homemade_hummus_and_pita_03.jpg
naan|Naan|Ravi Dwivedi|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Naan_baked_in_Tandoor.jpg
bagel|Bagel|Willis Lam|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:Plain_Bagel_from_Noah%27s_Bagel_(15652697666).jpg
pretzel|Pretzel|Sundar1|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:BrezelnSalz02_(cropped).JPG
focaccia|Focaccia|Kurtkaiser|CC0|https://commons.wikimedia.org/wiki/File:Focaccia_Bread_2.jpg
brioche|Brioche|Opsylac|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Brioche_tress%C3%A9e.jpg
ryebread|Rye Bread|Dirk Schneider (ds-foto)|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Roggenbrot-Laib_Loaf-rye-bread.JPG
cornbread|Cornbread|Sherurcij at English Wikipedia|Attribution|https://commons.wikimedia.org/wiki/File:Skillet_cornbread_1.jpg
tortilla|Tortilla|Unknown|Public domain|https://commons.wikimedia.org/wiki/File:NCI_flour_tortillas.jpg
whiteloaf|White Loaf|ElinorD|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:White_bread.jpg
croissant|Croissant|DromoTetteh|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:PLAIN_CROISSANT.jpg
flatbread|Flatbread|Shisma|CC BY 4.0|https://commons.wikimedia.org/wiki/File:Flatbread_on_counter.jpg
roti|Roti|Ralbahitha|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Roti,_the_flat_bread.jpg
