GuessSync E63 - "Guess the Cactus or Succulent" - Image Attributions
100 real cactus & succulent photos sourced from Wikimedia Commons / Wikipedia.
All images are Public Domain, CC0, CC BY, CC BY-SA, or FAL. Files under CC BY / CC BY-SA / FAL
require crediting the author + license; the lines below satisfy that requirement.
Generated 2026-07-11. Format:  slug | name | author | license | source
==========================================================================================
saguaro|Saguaro|Tomascastelazo|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Carnegiea_gigantea_or_Sahuaro_or_Saguaro.jpg
pricklypear|Prickly Pear|Nabunje Leticia|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Spiny_Prickly_Pear_Cactus.jpg
aloevera|Aloe Vera|H. Zell|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Aloe_vera_Lanzarote.jpg
barrelcactus|Barrel Cactus|John Owens (talk)|CC BY 2.5|https://commons.wikimedia.org/wiki/File:Ferocactus_wislizeni_(Fishhook_Barrel_Cactus)_fruit.jpg
christmascactus|Christmas Cactus|Agnes Monkelbaan|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Schlumbergera_(actm)_01.jpg
jadeplant|Jade Plant|W.carter|CC0|https://commons.wikimedia.org/wiki/File:Among_the_branches_of_a_potted_jade_plant.jpg
agave|Agave|Jim Evans|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Variegated_Century_Plant_--_Agave_americana_%27Marginata%27.jpg
echeveria|Echeveria|Diego Delso|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Rosa_de_alabastro_(Echeveria_elegans),_jard%C3%ADn_del_molino,_Sierra_de_San_Felipe,_Set%C3%BAbal,_Portugal,_2012-05-11,_DD_01.JPG
snakeplant|Snake Plant|Vivekkhushrang|CC BY 4.0|https://commons.wikimedia.org/wiki/File:Dracaena_trifasciata_the_snake_plant_flower.jpg
