GuessSync E34 - "Guess the Cat Breed" - Image Attributions
100 real cat photos sourced from Wikimedia Commons / Wikipedia.
All images are Public Domain, CC0, CC BY, CC BY-SA, or FAL. Files under CC BY / CC BY-SA / FAL
require crediting the author + license; the lines below satisfy that requirement.
Generated 2026-07-10. Format:  slug | name | author | license | source
==========================================================================================
persian | Persian | The original uploader was Lajoma at Finnish Wikipedia. | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Persialainen.jpg
siamese | Siamese | Meekahoo | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Siamese_cat_Vaillante.JPG
mainecoon | Maine Coon | Unknown | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:M%C3%A2le_Black_Silver_Blotched_Tabby.jpeg
bengal | Bengal | User:Lightburst | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Paintedcats_Red_Star_standing.jpg
sphynx | Sphynx | Dmitry Makeev | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Sphynx_-_cat._img_031.jpg
britishshorthair | British Shorthair | BritishEmpire | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Mystica_from_British_Empire_Cattery.jpg
ragdoll | Ragdoll | Simone Johnsson | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Ragdoll_from_Gatil_Ragbelas.jpg
scottishfold | Scottish Fold | Heikki Siltala | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Scottish_Fold_-_CFF_cat_show_Heinola_2008-05-03_IMG_7882.JPG
russianblue | Russian Blue | Anna Utekhina http://kidsphoto.ru/ | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Russian_blue_kitten_(cropped).jpg
abyssinian | Abyssinian | Karin Langner-Bahmann | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Gustav_chocolate.jpg
americanshorthair | American Shorthair | odin_aka_zero-one | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Jewelkatz_Romeo_Of_Stalker-Bars.jpg
norwegianforest | Norwegian Forest Cat | Gangburgondes | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Dalaja-Doll-norv%C3%A9gien-ambre-blotched-tabby_avec-blanc_2008_(cropped).jpg
birman | Birman | Kristin Kokkersvold | Copyrighted free use | https://commons.wikimedia.org/wiki/File:Birmanstrofe.jpg
burmese | Burmese | Heikkisiltala | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:British_burmese_-_Andel_Alois_at_Cat_show.JPG
munchkin | Munchkin | Sg0668commons | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Longhairedmunchkin.jpg
turkishangora | Turkish Angora | Ankarakediler | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Turkish_Angora_in_Ankara_Zoo_(AO%C3%87).JPG
himalayan | Himalayan | Cindy See | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Sonny_Bunny.jpg
manx | Manx | EliasAlucard at English Wikipedia | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Manx_Minus_rumpy.jpg
exoticshorthair | Exotic Shorthair | Tcm1707 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Ginger_Exotic_Shorthair.jpg
savannah | Savannah | Jason Douglas | Public domain | https://commons.wikimedia.org/wiki/File:Savannah_Cat_portrait.jpg
bombay | Bombay | Pititebilette | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Bombay_femelle.JPG
devonrex | Devon Rex | Anna Belial | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Devon_Rex_Cassini.jpeg
cornishrex | Cornish Rex | Tomi Tapio K from Helsinki, Finland | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Rex_staredown.jpg
somali | Somali | Матвеева Ирина Владимировна | Public domain | https://commons.wikimedia.org/wiki/File:%D0%A1%D0%BE%D0%BC%D0%B0%D0%BB%D0%B8%D0%B9%D1%81%D0%BA%D0%B0%D1%8F_%D0%BA%D0%BE%D1%88%D0%BA%D0%B0.jpg
tonkinese | Tonkinese | Luigi Leahy | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Tonkinese_Cat_-_Leo.jpg
ocicat | Ocicat | Heikki Siltala - catza.net | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Topspot_La_Colombina_(Liina)_OCI_c_24_female_kitten_EX1.JPG
balinese | Balinese | Mary Desmond | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Old-Style_Balinese_Cat.png
chartreux | Chartreux | Heikki Siltala - catza.net | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:IC_Blue_Melody_Flipper_CHA_male_EX1_CACIB.jpg
