# GuessSync E-cats2 «Guess the Cat» v2 — image attributions (Wikimedia Commons, free licenses only).
# Columns: slug	name	file	author	license	source_url

blackcat	Black Cat	File:Blackcat-Lilith.jpg	The original uploader was DrL at English Wikipedia.	CC BY-SA 2.5	https://commons.wikimedia.org/wiki/File:Blackcat-Lilith.jpg
whitecat	White Cat	File:Felis catus-cat on snow.jpg	Von.grzanka	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Felis_catus-cat_on_snow.jpg
tabbycat	Tabby Cat	File:Cat_November_2010-1a.jpg	Alvesgaspar	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Cat_November_2010-1a.jpg
calicocat	Calico Cat	File:CalicoCat.jpg	Ellisn95	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:CalicoCat.jpg
tuxedocat	Tuxedo Cat	File:Bicolor tuxedo cat Matias.jpg	AlexVaisanen	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Bicolor_tuxedo_cat_Matias.jpg
gingercat	Ginger Cat	File:Orange Tabby Cat Sitting Down.jpg	Asabae2752	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Orange_Tabby_Cat_Sitting_Down.jpg
tortoiseshellcat	Tortoiseshell	File:Mudball_(2017_photo;_cropped_2022).jpg	Maddydumont	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Mudball_(2017_photo;_cropped_2022).jpg
greycat	Grey Cat	File:Grey and white cat sitting on the ground.jpg	TricksterWildcat	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Grey_and_white_cat_sitting_on_the_ground.jpg
orangetabby	Orange Tabby	File:Orange Tabby Cat 2.jpg	Kalel Tonatiuh	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Orange_Tabby_Cat_2.jpg
bicolorcat	Bicolor Cat	File:Photograph_of_Socks_the_Cat_-_DPLA_-_8e79cef8c53759b0385c95d83a4581a1.jpg	President (1993-2001 : Clinton). White House Photograph Office. 1/20/1993-1/20/2001	Public domain	https://commons.wikimedia.org/wiki/File:Photograph_of_Socks_the_Cat_-_DPLA_-_8e79cef8c53759b0385c95d83a4581a1.jpg
sealpointsiamese	Seal Point Siamese	File:Mixed breed tabby seal-point Siamese cat.jpg	Hunter Craig	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Mixed_breed_tabby_seal-point_Siamese_cat.jpg
bluepointsiamese	Blue Point Siamese	File:4 month old "traditional" Blue Point Siamese cat.JPG	User:Humidor	Public domain	https://commons.wikimedia.org/wiki/File:4_month_old_%22traditional%22_Blue_Point_Siamese_cat.JPG
flamepointsiamese	Flame Point Siamese	File:Red point siamese cat.jpg	Butterflye222	CC0	https://commons.wikimedia.org/wiki/File:Red_point_siamese_cat.jpg
bluepersian	Blue Persian	File:Grey Persian Cat (5339239070).jpg	Magnus Bråth from Sliema, Malta	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Grey_Persian_Cat_(5339239070).jpg
whitepersian	White Persian	File:Cat Show Persian.jpg	Sarah Marriage from Brooklyn, NY	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Cat_Show_Persian.jpg
blackpersian	Black Persian	File:Black Persian Cat (51513540796).jpg	Reba Spike	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Black_Persian_Cat_(51513540796).jpg
calicopersian	Calico Persian	File:Calico persian getting ready for show.jpg	Dina-Roberts Wakulczyk from Indianapolis, Indiana, USA	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Calico_persian_getting_ready_for_show.jpg
sealpointragdoll	Seal Point Ragdoll	File:Seal Point mitted Ragdoll BreedingCat.jpg	Cgomez766	CC0	https://commons.wikimedia.org/wiki/File:Seal_Point_mitted_Ragdoll_BreedingCat.jpg
bluepointragdoll	Blue Point Ragdoll	File:Blue point and white Ragdoll cat.jpg	kishjar? from Moscow, Russia	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Blue_point_and_white_Ragdoll_cat.jpg
mittedragdoll	Mitted Ragdoll	File:Seal Mitted Ragdoll - Ragalong Oisin.jpeg	Nhudson	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Seal_Mitted_Ragdoll_-_Ragalong_Oisin.jpeg
britishblue	British Blue	File:British shorthair cat close-up.jpg	Dimljacic	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:British_shorthair_cat_close-up.jpg
tabbymainecoon	Tabby Maine Coon	File:Maine Coon Cat Atticus.jpg	Hollakr	Public domain	https://commons.wikimedia.org/wiki/File:Maine_Coon_Cat_Atticus.jpg
silvertabby	Silver Tabby	File:Young tabby cat keeping watch.jpg	W.carter	CC0	https://commons.wikimedia.org/wiki/File:Young_tabby_cat_keeping_watch.jpg
smokecat	Smoke Cat	File:NL* Titran's Saskia van Rijn female black smoke & white 20 months old (38074062545).jpg	Pieter &amp; Renée Lanser from The Netherlands	CC BY 2.0	https://commons.wikimedia.org/wiki/File:NL*_Titran%27s_Saskia_van_Rijn_female_black_smoke_%26_white_20_months_old_(38074062545).jpg
torbiecat	Torbie Cat	File:Kira, a tortoise shell cat.jpg	Ivanhercaz	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Kira,_a_tortoise_shell_cat.jpg
lynxpointsiamese	Lynx Point Siamese	File:Two Chocolate Lynx Point Colorpoint Shorthairs.jpg	Kathryn Smith	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Two_Chocolate_Lynx_Point_Colorpoint_Shorthairs.jpg
chocolatepointsiamese	Chocolate Point	File:Siamese cat, chocolate point.jpg	Felinlove	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Siamese_cat,_chocolate_point.jpg
lilacpointsiamese	Lilac Point	File:The only two Thai Lilac Points in the UK - Clairabelle Pixie Dust & Clairabelle Ninja Rococoa.jpg	Dreistone	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:The_only_two_Thai_Lilac_Points_in_the_UK_-_Clairabelle_Pixie_Dust_%26_Clairabelle_Ninja_Rococoa.jpg
tortiepointsiamese	Tortie Point	File:Blu-tortie-point-masch.jpg	The original uploader was Claudiabirmani at English Wikipedia.	CC BY-SA 2.5	https://commons.wikimedia.org/wiki/File:Blu-tortie-point-masch.jpg
redpersian	Red Persian	File:Persian cat in the car.png	M.sahakyan	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Persian_cat_in_the_car.png
creampersian	Cream Persian	File:Cat cute persian cat.jpg	Tukangtamanmurah	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Cat_cute_persian_cat.jpg
silverpersian	Silver Persian	File:Doll Face Chinchillà Persian Romeo.jpg	Sara Pupi	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Doll_Face_Chinchill%C3%A0_Persian_Romeo.jpg
goldenpersian	Golden Persian	File:Persian cat chinchilla golden male and silver female.jpg	ウィキ太郎(Wiki Taro)	Public domain	https://commons.wikimedia.org/wiki/File:Persian_cat_chinchilla_golden_male_and_silver_female.jpg
tabbypersian	Tabby Persian	File:Orange tabby persian cat sleeping on a couch.png	TheOmniCommie	CC0	https://commons.wikimedia.org/wiki/File:Orange_tabby_persian_cat_sleeping_on_a_couch.png
smokepersian	Smoke Persian	File:Mrs. A.McAllister and "Smoke Persian" cat LCCN2014698055.jpg	Bain News Service, publisher	Public domain	https://commons.wikimedia.org/wiki/File:Mrs._A.McAllister_and_%22Smoke_Persian%22_cat_LCCN2014698055.jpg
bicolorragdoll	Bicolor Ragdoll	File:A female black bicolor ragdoll.jpg	WANG XIAOLING995	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:A_female_black_bicolor_ragdoll.jpg
lynxragdoll	Lynx Ragdoll	File:Tajeschidolls Beren of LoveLorien Ragdoll Seal Mink Lynx Bicolor.jpg	InesSiwińska	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Tajeschidolls_Beren_of_LoveLorien_Ragdoll_Seal_Mink_Lynx_Bicolor.jpg
sealpointbirman	Seal Point Birman	File:Tallulah, a Seal-Point Birman cat.jpg	Jon McKnight	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Tallulah,_a_Seal-Point_Birman_cat.jpg
bluepointbirman	Blue Point Birman	File:Birma blue point SBI a 21.jpg	Ivana Medeková - fivamed	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Birma_blue_point_SBI_a_21.jpg
silvermainecoon	Silver Maine Coon	File:Maine coon cat black silver tabby sunset.png	MEichinger	CC0	https://commons.wikimedia.org/wiki/File:Maine_coon_cat_black_silver_tabby_sunset.png
smokemainecoon	Smoke Maine Coon	File:A black smoke Maine Coon.jpg	Rupsengod	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:A_black_smoke_Maine_Coon.jpg
redmainecoon	Red Maine Coon	File:Red blotched tabby and white Maine Coon, Winschoten 01.jpg	Donald Trung Quoc Don (Chữ Hán: 徵國單) - Wikimedia Commons - © CC BY-SA 4.0 International.(Want to use this image?)Original publication 📤: --Donald Trung 『徵國單』 (No Fake News 💬) (WikiProject Numismatics 💴) (Articles 📚) 08:24, 25 March 2023 (UTC)	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Red_blotched_tabby_and_white_Maine_Coon,_Winschoten_01.jpg
britishsilvertabby	British Silver Tabby	File:British Shorthair black-silver tabby mackerel.JPG	Omnapsilon	CC0	https://commons.wikimedia.org/wiki/File:British_Shorthair_black-silver_tabby_mackerel.JPG
britishcream	British Cream	File:Nööbi.jpg	Nöpsu	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:N%C3%B6%C3%B6bi.jpg
colorpointbritish	Colorpoint British	File:British shorthair cat-3113513.jpg	Alexas_Fotos	CC0	https://commons.wikimedia.org/wiki/File:British_shorthair_cat-3113513.jpg
mackereltabby	Mackerel Tabby	File:Tabby cat–IMG 6135 02.jpg	Kızıl	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Tabby_cat%E2%80%93IMG_6135_02.jpg
classictabby	Classic Tabby	File:Grey classic tabby crop.JPG	Cassie Jasewicz	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Grey_classic_tabby_crop.JPG
spottedtabby	Spotted Tabby	File:20200816 Kot domowy, na polu w Rżuchowie, świętokrzyskie 0803 3618.jpg	Jakub Hałun	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:20200816_Kot_domowy,_na_polu_w_R%C5%BCuchowie,_%C5%9Bwi%C4%99tokrzyskie_0803_3618.jpg
harlequincat	Harlequin Cat	File:Harlequin patterned bicolor cats.JPG	Nicholas Gemini	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Harlequin_patterned_bicolor_cats.JPG
