GuessSync E63 — «Guess the Dessert» — image attributions
Source: Wikimedia Commons. Each line: slug | dessert | author | license | source URL
======================================================================

chocolatecake | Chocolate Cake | Acabashi | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Chocolate_cake_and_Victoria_sponge.jpg
cheesecake | Cheesecake | EvanProdromou | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:New_York_cheesecake_2.jpg
icecream | Ice Cream | Missvain | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Sweet_Scoops_Ice_Cream_-_July_2023_-_Sarah_Stierch.jpg
donut | Donut | Unknown authorUnknown author | CC0 | https://commons.wikimedia.org/wiki/File:Chocolate-glazed_doughnut_(1236451).jpg
brownie | Brownie | JefferySAC | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Chocolate-brownie-hachatw.jpg
applepie | Apple Pie | Shisma | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Slice_of_apple_pie_2.jpg
tiramisu | Tiramisu | Anna.Massini | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Dolce_Tiramis%C3%B9_monoporzione.jpg
macaron | Macaron | C.a.ciliberto | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Colorful_French_Macaroons.jpg
waffle | Waffle | City Foodsters | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Waffles_with_mixed_berries_in_breakfast.jpg
pancake | Pancakes | Mae Mu | CC0 | https://commons.wikimedia.org/wiki/File:Foodiesfeed.com_pouring-honey-on-pancakes-with-walnuts.jpg
cupcake | Cupcake | Prerna Jaddwani | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Vanilla_cupcakes_with_buttercream_frosting.JPG
croissant | Croissant | Luc Viatour | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Pain_au_chocolat_Luc_Viatour.jpg
eclair | Éclair | LMDCWIKI | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Eclair_Chocolat_LMDC_2.png
cookie | Cookie | Jonathunder | GFDL 1.2 | https://commons.wikimedia.org/wiki/File:6cookies.JPG
baklava | Baklava | Kultigin | Public domain | https://commons.wikimedia.org/wiki/File:Baklava_-_Turkish_special,_80-ply.JPEG
cremebrulee | Crème Brûlée | Lindsey40186 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Cr%C3%A8me_br%C3%BBl%C3%A9e_w._whipped_cream.jpg
churros | Churros | Unknown authorUnknown author | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Chocolate_con_churros_en_La_Giralda.jpg
muffin | Muffin | W.carter | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Plain_vanilla_muffin_in_Tuntorp.jpg
gingerbread | Gingerbread Man | Jonathunder | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:GingerbreadPeople.JPG
