GuessSync E13 - "Guess the Dinosaur" - Image Attributions
100 life-restoration (paleoart) images sourced from Wikimedia Commons / Wikipedia.
All images are Public Domain, CC0, CC BY, or CC BY-SA. Files under CC BY / CC BY-SA
require crediting the author + license; the lines below satisfy that requirement.
Generated 2026-07-10. Format:  slug | answer | author | license | source
==========================================================================================

tyrannosaurus-rex | Tyrannosaurus Rex | Nobu Tamura | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File%3ATyrannosaurus%20rex%20Reconstruction%20by%20Nobu%20Tamura.jpg
triceratops | Triceratops | Connor Ashbridge | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File%3AJuvenile%20reconstruction%20of%20Triceratops.png
stegosaurus | Stegosaurus | Fred Wierum | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File%3AStegosaurus%20stenops%20Life%20Reconstruction.png
velociraptor | Velociraptor | Fred Wierum | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File%3AVelociraptor%20Restoration.png
brachiosaurus | Brachiosaurus | User Firsfron on en.wikipedia | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File%3ABrachiosaurus%20Animatronic%20model%20NHM2.jpg
spinosaurus | Spinosaurus | Connor Ashbridge | CC BY 4.0 | https://commons.wikimedia.org/wiki/File%3ASpinosaurus%20aegyptiacus%20life%20reconstruction.png
ankylosaurus | Ankylosaurus | Emily Willoughby (e.deinonychus@gmail.com, http://emilywilloughby.com) | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File%3AAnkylosaurus%20magniventris%20reconstruction.png
diplodocus | Diplodocus | Nobu Tamura (http://spinops.blogspot.com) | CC BY 3.0 | https://commons.wikimedia.org/wiki/File%3ADiplodocus%20BW.jpg
parasaurolophus | Parasaurolophus | Connor Ashbridge | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File%3ALife%20reconstruction%20of%20Parasaurolophus%20walkeri.png
pteranodon | Pteranodon | NobuTamura email:nobu.tamura@yahoo.com www.palaeocritti.com | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File%3APteranodon%20NT.jpg
brontosaurus | Brontosaurus | Nobu Tamura email:nobu.tamura@yahoo.com http://spinops.blogspot.com/ | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File%3ABrontosaurus%20NT%20small.jpg
apatosaurus | Apatosaurus | Leotrex444 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File%3AReconstrucion%20de%20Apatosaurus.jpg
allosaurus | Allosaurus | Fred Wierum | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File%3AAllosaurus%20Life%20Restoration.jpg
pachycephalosaurus | Pachycephalosaurus | Fred Wierum | CC BY 4.0 | https://commons.wikimedia.org/wiki/File%3APachycephalosaurus%20Reconstruction.jpg
iguanodon | Iguanodon | Sauroarchive | CC BY 4.0 | https://commons.wikimedia.org/wiki/File%3AIguanodon%20paleoart%202025.png
mosasaurus | Mosasaurus | Jonagold2000 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File%3AMosasaurus%20hoffmanni%20life.jpg
