«Guess the Dog Breed v2» (DOGS2) — Image Attributions
All images from Wikimedia Commons / Wikipedia under free licenses (CC BY / CC BY-SA / CC0 / Public Domain).
Format: slug | breed | author | license | source
======================================================================
frenchbulldog | French Bulldog | Ildar Sagdejev (Specious) | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:2008-07-28_Dog_at_Frolick_Field.jpg
cavalier | Cavalier King Charles Spaniel | Andreweatock | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:CarterBIS.Tiki.13.6.09.jpg
greatpyrenees | Great Pyrenees | HeartSpoon | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Great_Pyrenees_Mountain_Dog_2.png
mastiff | English Mastiff | Radovan Rohovsky | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Westgort_Anticipation_17_months.JPG
bostonterrier | Boston Terrier | Andreas Schlaugat | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Boston-terrier-carlos-de.JPG
germanshorthairedpointer | German Shorthaired Pointer | Pleple2000 | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:(2)Wystawa_ps%C3%B3w_Rybnik_wy%C5%BCe%C5%82_niemiecki_04.10.2010_pl.jpg
englishspringerspaniel | English Springer Spaniel | Ratsniffer | CC0 | https://commons.wikimedia.org/wiki/File:Springer_Spaniel_Wide_Shot.jpg
shetlandsheepdog | Shetland Sheepdog | Flickr user nickobec (Nick Cowie) | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Shetland_Sheepdog_sable.jpg
miniatureschnauzer | Miniature Schnauzer | Canarian | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Miniature_Schnauzer_salt_%26_pepper_(cropped).jpg
westhighlandterrier | West Highland Terrier | Christopher Walker from Krakow, Poland | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:West_Highland_White_Terrier_Krakow.jpg
blueheeler | Blue Heeler | Zingpix | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:ACD-blue-spud.jpg
brittany | Brittany | Pharaoh Hound | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Brittany_Spaniel_standing.jpg
goldendoodle | Goldendoodle | Gullpavon | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Golden_Doodle_Standing_(HD).jpg
labradoodle | Labradoodle | Anton Porsche | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Labradoodle-Brown-Male-SideFace.jpg
americanbulldog | American Bulldog | Photo by sannse | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:American_Bulldog_600.jpg
pitbull | Pit Bull | https://www.flickr.com/people/geoggirl/ | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:001_American_Pit_Bull_Terrier.jpg
collie | Rough Collie | Yasu w | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Rough-Collie-japan08_(cropped).jpg
pointer | Pointer | No-longer-here from Pixabay | CC0 | https://commons.wikimedia.org/wiki/File:English-pointer-164115.jpg
irishwolfhound | Irish Wolfhound | Dux | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:(2)_Irish_Wolfhound_4.jpg
scottishterrier | Scottish Terrier | Elise Carroll | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Scottish_Terrier_Photo_of_Face.jpg
cockapoo | Cockapoo | No machine-readable author provided. BetacommandBot assumed (based on copyright claims). | CC BY 2.5 | https://commons.wikimedia.org/wiki/File:Cockapoo_apricot_standing.jpg
giantschnauzer | Giant Schnauzer | Petrucha | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Nev_Lemar_Barbara1.jpg
oldenglishsheepdog | Old English Sheepdog | AKS.9955 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Old_English_Sheepdog_(side).jpg
flatcoatedretriever | Flat-Coated Retriever | Gunnandreassen | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Flat_Coated_Retriever_-_black.jpg
standardschnauzer | Standard Schnauzer | Tamorlan | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Standard_Grey_Schnauzer_(cropped).JPG
germanwirehairedpointer | German Wirehaired Pointer | JainaKo | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Dan_vom_hardenberg_(cropped).jpg
chesapeakebayretriever | Chesapeake Bay Retriever | George Makatura | Public domain | https://commons.wikimedia.org/wiki/File:CH_Chesapeake.jpg
gordonsetter | Gordon Setter | Unknown | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Orrvilas_enska_w800px.jpg
airedaleterrier | Airedale Terrier | Amélie Tsaag Valren | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Airedale_terrier_head,_Josselin_01.jpg
welshterrier | Welsh Terrier | Pleple2000 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Terier_walijski_suka_2009_pl.jpg
norwichterrier | Norwich Terrier | H. Gisin | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Norwichterrier.jpg
norfolkterrier | Norfolk Terrier | Canarian | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Norfolk-red1.jpg
australianterrier | Australian Terrier | Chuck in MA | Public domain | https://commons.wikimedia.org/wiki/File:Australian_Terrier_adult_male.jpg
