# GuessSync E36 «Guess the Fish» — image attributions (Wikimedia Commons)
# slug | name | author | license | url

clownfish | Clownfish | Ritiks | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Clown_fish_in_the_Andaman_Coral_Reef.jpg
goldfish | Goldfish | לינה אבוגוש | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Gold_fish1.jpg
great-white-shark | Great White Shark | Pterantula (Terry Goss) at en.wikipedia | CC BY 2.5 | https://commons.wikimedia.org/wiki/File:White_shark.jpg
salmon | Salmon | User:Wolfgang Striewski | Public domain | https://commons.wikimedia.org/wiki/File:Wst_atlantischer_lachs_stoer_001.jpg
tuna | Tuna | Unknown authorUnknown author | Public domain | https://commons.wikimedia.org/wiki/File:Bluefin-big.jpg
piranha | Piranha | H. Zell | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Pygocentrus_nattereri_-_Karlsruhe_Zoo_01.jpg
pufferfish | Pufferfish | Diego Delso | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Pez_globo_(Arothron_hispidus),_Anilao,_Filipinas,_2023-08-24,_DD_53.jpg
seahorse | Seahorse | Hans Hillewaert | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Hippocampus_hippocampus_(on_Ascophyllum_nodosum).jpg
swordfish | Swordfish | Naturalis Biodiversity Center | CC0 | https://commons.wikimedia.org/wiki/File:Xiphias_gladius_Linnaeus,_1758_2599925021.jpg
betta | Betta | Daniella Vereeken | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:HM_Orange_M_Sarawut.jpg
angelfish | Angelfish | Mattia Nocciola | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Pterophyllum_scalare_Natural_History_Museum_University_of_Pisa.jpg
manta-ray | Manta Ray | jon hanson from london, UK | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Manta_birostris-Thailand4.jpg
hammerhead-shark | Hammerhead Shark | Albert kok | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Great_hammerhead2.jpg
catfish | Catfish | USFWS Mountain Prairie | Public domain | https://commons.wikimedia.org/wiki/File:Channel_Catfish_(Ictalurus_punctatus)_white_background.jpg
stingray | Stingray | Florin DUMITRESCU | Public domain | https://commons.wikimedia.org/wiki/File:Black_sea_fauna_stingray_01.jpg
whale-shark | Whale Shark | Abe Khao Lak | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Similan_Dive_Center_-_great_whale_shark.jpg
koi | Koi | Asturio Cantabrio | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Ojiya_Nishikigoi_no_Sato_ac_(3).jpg
carp | Carp | George Chernilevsky | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Cyprinus_carpio_2008_G1_(cropped).jpg
trout | Trout | Engbretson Eric, U.S. Fish and Wildlife Service | Public domain | https://commons.wikimedia.org/wiki/File:Close_up_of_rainbow_trout_fish_underwater_oncorhynchus_mykiss.jpg
cod | Cod | Wilhelm Thomas Fiege | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Atlantic_Cod,_Atlantischer_Kabeljau_(Gadus_morhua).jpg
barracuda | Barracuda | Diego Delso | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Gran_barracuda_(Sphyraena_barracuda),_Yeda,_Arabia_Saudita,_2025-05-20,_DD_118.jpg
marlin | Marlin | NOAA | Public domain | https://commons.wikimedia.org/wiki/File:Atlantic_blue_marlin.jpg
guppy | Guppy | Per Harald Olsen | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Guppy_pho_0048.jpg
