# «Guess the Flower» v2 (E-FLOWERS2) — image attributions (Wikimedia Commons, free licenses only)
# format: slug|title|author|license|url
dahlia|File:Dahlia pinnata–IMG 6396 03.jpg|Kızıl|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Dahlia_pinnata%E2%80%93IMG_6396_03.jpg
poinsettia|File:Euphorbia pulcherrima flowers 2019.jpg|Gauravggs|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Euphorbia_pulcherrima_flowers_2019.jpg
jasmine|File:Jasminum officinale.JPG|B.traeger|CC BY 3.0|https://commons.wikimedia.org/wiki/File:Jasminum_officinale.JPG
cornflower|File:CentaureaCyanus-bloem-kl.jpg|TeunSpaans|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:CentaureaCyanus-bloem-kl.jpg
black-eyed-susan|File:"Rudbeckia hirta" Black-eyed Susan Gibberd Garden Essex England (cropped).JPG|Acabashi|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:%22Rudbeckia_hirta%22_Black-eyed_Susan_Gibberd_Garden_Essex_England_(cropped).JPG
primrose|File:Primula vulgaris 'rubra' (Primevère rouge) - 15.jpg|Another one of my pictures: This photograph was taken by Medium69 (William Crochot) and released under the license stated below. You are free to use it for any purpose as long as you credit the author (William Crochot), the Source (Wikimedia Commons) and the license (CC-BY-SA 4.0) in close relation to the image. Please do not upload an updated image here without consultation with the Author. The author would like to make corrections only at his own source RAW. This ensures that the changes are preserved.Please if you think that any changes should be required, please inform the author.Otherwise you can upload a new image with a new name. Please use one of the templates derivative or extract.|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Primula_vulgaris_%27rubra%27_(Primev%C3%A8re_rouge)_-_15.jpg
snowdrop|File:Galanthus nivalis close-up aka.jpg|André Karwath aka Aka|CC BY-SA 2.5|https://commons.wikimedia.org/wiki/File:Galanthus_nivalis_close-up_aka.jpg
cyclamen|File:CyclamenPersicumMill20.jpg|Fanghong|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:CyclamenPersicumMill20.jpg
impatiens|File:Impatiens walleriana 01.JPG|Prenn|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Impatiens_walleriana_01.JPG
babys-breath|File:Gypsophila paniculata.jpg|PiPi|Public domain|https://commons.wikimedia.org/wiki/File:Gypsophila_paniculata.jpg
sweet-william|File:Dianthus barbatus 155538.jpg|Sabina Bajracharya|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Dianthus_barbatus_155538.jpg
periwinkle|File:Vinca-minor-flower-JR-T20-0656-0690-2020-03-28.jpg|Johannes Robalotoff|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Vinca-minor-flower-JR-T20-0656-0690-2020-03-28.jpg
