# «Guess the Dish» — World Foods v2 — image attributions (Wikimedia Commons, free licenses)
# format: slug|title|author|license|url
friedrice|File:Arroz chaufa simple.JPG|Dtarazona|Public domain|https://commons.wikimedia.org/wiki/File:Arroz_chaufa_simple.JPG
chowmein|File:Liat Portal for Foodie Disorder - Homemade Chinese style orange chicken with chow mein and broccoli.jpg|HaJunkiyada|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Liat_Portal_for_Foodie_Disorder_-_Homemade_Chinese_style_orange_chicken_with_chow_mein_and_broccoli.jpg
chickencurry|File:Asian Chicken Curry (4652719000).jpg|Katrin Gilger|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:Asian_Chicken_Curry_(4652719000).jpg
kebab|File:Kebab Gerashi.jpg|Amin Noubahar|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Kebab_Gerashi.jpg
shawarma|File:Shawarma-sandwich-01.jpg|Vera Yu and David Li|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Shawarma-sandwich-01.jpg
macandcheese|File:Flickr qmnonic 123431456--Kraft Dinner and veggie dogs.jpg|Matt MacGillivray from Toronto, Ontario, Canada|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Flickr_qmnonic_123431456--Kraft_Dinner_and_veggie_dogs.jpg
meatballs|File:Liat Portal for Foodie Disorder - Spaghetti and meatballs.jpg|HaJunkiyada|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Liat_Portal_for_Foodie_Disorder_-_Spaghetti_and_meatballs.jpg
chickenwings|File:Buffalo Burgers Buffalo Chicken Wings (36082467922).jpg|Willis Lam|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:Buffalo_Burgers_Buffalo_Chicken_Wings_(36082467922).jpg
caesarsalad|File:Caesar salad (2).jpg|Geoff Peters from Vancouver, BC, Canada|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Caesar_salad_(2).jpg
greeksalad|File:Flickr - cyclonebill - Græsk salat.jpg|cyclonebill|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:Flickr_-_cyclonebill_-_Gr%C3%A6sk_salat.jpg
mashedpotatoes|File:2019-11-28 14 29 27 A bowl of mashed potatoes laid out for Thanksgiving Dinner in the Parkway Village section of Ewing Township, Mercer County, New Jersey.jpg|Famartin|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:2019-11-28_14_29_27_A_bowl_of_mashed_potatoes_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg
roastchicken|File:Roasted Whole Chicken.jpg|Fatimahope|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Roasted_Whole_Chicken.jpg
omelette|File:Omelette on a plate.jpg|Infrogmation of New Orleans|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Omelette_on_a_plate.jpg
clubsandwich|File:DFC 4533 Triple-decker club juicy turkey melty cheddar crisp lettuce tomato served with fries and coleslaw.jpg|PattayaPatrol|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:DFC_4533_Triple-decker_club_juicy_turkey_melty_cheddar_crisp_lettuce_tomato_served_with_fries_and_coleslaw.jpg
bbqribs|File:Pork-ribs 02.jpg|Pannet|CC BY 4.0|https://commons.wikimedia.org/wiki/File:Pork-ribs_02.jpg
chickennuggets|File:Chicken nuggets on a plate.jpg|Jiafei Slay Queen|CC0|https://commons.wikimedia.org/wiki/File:Chicken_nuggets_on_a_plate.jpg
coleslaw|File:Coleslaw with rocket (arugula) and lemon dressing.jpg|Horacio Cambeiro|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Coleslaw_with_rocket_(arugula)_and_lemon_dressing.jpg
quiche|File:Coronation Quiche, May 2023 03.jpg|No Swan So Fine|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Coronation_Quiche,_May_2023_03.jpg
friedcalamari|File:Fried Calamari Rings.jpg|Maksym Kozlenko|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Fried_Calamari_Rings.jpg
baconandeggs|File:Eggs and bacon.jpg|Jon Sullivan|Public domain|https://commons.wikimedia.org/wiki/File:Eggs_and_bacon.jpg
meatloaf|File:Meatloaf (1).jpg|Renee Comet (Photographer)|Public domain|https://commons.wikimedia.org/wiki/File:Meatloaf_(1).jpg
porkchop|File:Pork chops served with rice.jpg|Dora Tran|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Pork_chops_served_with_rice.jpg
chili|File:Chili con carne with pasta.jpg|JIP|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Chili_con_carne_with_pasta.jpg
misosoup|File:Miso Soup.jpg|ish-ka|Public domain|https://commons.wikimedia.org/wiki/File:Miso_Soup.jpg
kimchi|File:Triple White Kimchi 05.jpg|korea.net|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:Triple_White_Kimchi_05.jpg
wontonsoup|File:Wonton Noodle Soup in Fresno, California (雲吞湯麵在加利福尼亞州的弗雷斯諾).jpg|NeoBatfreak|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Wonton_Noodle_Soup_in_Fresno,_California_(%E9%9B%B2%E5%90%9E%E6%B9%AF%E9%BA%B5%E5%9C%A8%E5%8A%A0%E5%88%A9%E7%A6%8F%E5%B0%BC%E4%BA%9E%E5%B7%9E%E7%9A%84%E5%BC%97%E9%9B%B7%E6%96%AF%E8%AB%BE).jpg
schnitzel|File:Wiener schnitzel (509235837).jpg|Simon Law from Montréal, QC, Canada|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:Wiener_schnitzel_(509235837).jpg
goulash|File:Gulasch wp.JPG|Jgu|CC BY 3.0|https://commons.wikimedia.org/wiki/File:Gulasch_wp.JPG
carbonara|File:Spaghetti alla Carbonara 2.jpg|Amin|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Spaghetti_alla_Carbonara_2.jpg
kungpao|File:Kung Pao chicken (western version) -1.jpg|Alexander Marks (aomarks)|Public domain|https://commons.wikimedia.org/wiki/File:Kung_Pao_chicken_(western_version)_-1.jpg
sweetandsour|File:Guobaorou at Zhenbutong, Changchun (20220826174428).jpg|N509FZ|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Guobaorou_at_Zhenbutong,_Changchun_(20220826174428).jpg
pekingduck|File:Peking duck slices.jpg|Fumikas Sagisavas|CC0|https://commons.wikimedia.org/wiki/File:Peking_duck_slices.jpg
dimsum|File:Three dim sum in steamer basket.jpg|Mshuang2|CC0|https://commons.wikimedia.org/wiki/File:Three_dim_sum_in_steamer_basket.jpg
tempura|File:Tempura of various foods.jpg|ノボホショコロトソ|CC BY 4.0|https://commons.wikimedia.org/wiki/File:Tempura_of_various_foods.jpg
teriyaki|File:Chicken Deriyakidon.jpg|Shene81|CC BY 3.0|https://commons.wikimedia.org/wiki/File:Chicken_Deriyakidon.jpg
bulgogi|File:Korean.cuisine-Bulgogi-01.jpg|by ayustety|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:Korean.cuisine-Bulgogi-01.jpg
butterchicken|File:Butter Chicken, City Grill Kottayam.jpg|Vis M|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Butter_Chicken,_City_Grill_Kottayam.jpg
biryani|File:A home made plate of mutton biryani served with chicken kassa cooked in the bengali style.jpg|Subhrajyoti07|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:A_home_made_plate_of_mutton_biryani_served_with_chicken_kassa_cooked_in_the_bengali_style.jpg
enchilada|File:Enchiladas de guerrero.jpg|German matus|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Enchiladas_de_guerrero.jpg
fajitas|File:Chicken fajitas - La Hacienda - Sarah Stierch.jpg|Missvain|CC BY 4.0|https://commons.wikimedia.org/wiki/File:Chicken_fajitas_-_La_Hacienda_-_Sarah_Stierch.jpg
tamale|File:Tamales Mexicanos sweet corn tamales 01.jpg|Usernet123u|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Tamales_Mexicanos_sweet_corn_tamales_01.jpg
gumbo|File:Seafood gumbo and sausage at Davids Kitchen 168, Acme Oyster House, New Orleans.jpg|David Reber from Kansas City, USA|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:Seafood_gumbo_and_sausage_at_Davids_Kitchen_168,_Acme_Oyster_House,_New_Orleans.jpg
jambalaya|File:Vegetarisk jambalaya.jpg|Andreas Ivarsson|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Vegetarisk_jambalaya.jpg
clamchowder|File:Quail 07 bg 041506.jpg|Jon SullivanThe original uploader was Y6y6y6 at English Wikipedia.|Public domain|https://commons.wikimedia.org/wiki/File:Quail_07_bg_041506.jpg
