# «Guess the Fruit or Vegetable» v2 — image attributions (Wikimedia Commons, free licenses)
# format: slug|title|author|license|url
raspberry|File:Raspberry - whole (Rubus idaeus).jpg|Ivar Leidus|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Raspberry_-_whole_(Rubus_idaeus).jpg
blueberry|File:Dish of blueberries.jpg|Petar Milošević|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Dish_of_blueberries.jpg
lime|File:Lime - whole and halved.jpg|Ivar Leidus|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Lime_-_whole_and_halved.jpg
grapefruit|File:Citrus paradisi (Grapefruit, pink) white bg.jpg|Citrus_paradisi_(Grapefruit,_pink).jpg: א (Aleph) derivative work: — raeky|CC BY-SA 2.5|https://commons.wikimedia.org/wiki/File:Citrus_paradisi_(Grapefruit,_pink)_white_bg.jpg
cabbage|File:Fresh green cabbage heads.jpg|CharlesPoterai|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Fresh_green_cabbage_heads.jpg
spinach|File:Liat Portal for Foodie Disorder - Fresh spinach leaves.jpg|HaJunkiyada|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Liat_Portal_for_Foodie_Disorder_-_Fresh_spinach_leaves.jpg
kale|File:CSA-Red-Russian-Kale.jpg|Evan-Amos|Public domain|https://commons.wikimedia.org/wiki/File:CSA-Red-Russian-Kale.jpg
greenbeans|File:Green beans in a pile.JPG|Jeffery Martin|CC0|https://commons.wikimedia.org/wiki/File:Green_beans_in_a_pile.JPG
peas|File:Peas (484346231).jpg|Ruth Hartnup from Vancouver, Canada|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Peas_(484346231).jpg
nectarine|File:Liat Portal for Foodie Disorder - Nectarine.jpg|HaJunkiyada|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Liat_Portal_for_Foodie_Disorder_-_Nectarine.jpg
tangerine|File:Tangerine halves.jpg|多多123|CC BY 4.0|https://commons.wikimedia.org/wiki/File:Tangerine_halves.jpg
mandarin|File:Mandarin Oranges (Citrus Reticulata).jpg|Joe Ravi|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Mandarin_Oranges_(Citrus_Reticulata).jpg
chilipepper|File:Cayenne Pepper in Cebu, Philippines 1.jpg|Bim24|CC0|https://commons.wikimedia.org/wiki/File:Cayenne_Pepper_in_Cebu,_Philippines_1.jpg
greenonion|File:Beijing scallions.jpg|Fumikas Sagisavas|CC0|https://commons.wikimedia.org/wiki/File:Beijing_scallions.jpg
honeydew|File:Golden honeydew melon.jpg|Fumikas Sagisavas|CC0|https://commons.wikimedia.org/wiki/File:Golden_honeydew_melon.jpg
butternutsquash|File:Butternut squash stuffed shells with toasted pecan and sage brown butter (3869054302).jpg|Karen and Brad Emerson|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Butternut_squash_stuffed_shells_with_toasted_pecan_and_sage_brown_butter_(3869054302).jpg
redcabbage|File:Purple Cabbage.JPG|Miansari66|CC0|https://commons.wikimedia.org/wiki/File:Purple_Cabbage.JPG
jalapeno|File:Immature jalapeno capsicum annuum var annuum.jpeg|Unknown|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Immature_jalapeno_capsicum_annuum_var_annuum.jpeg
clementine|File:Clementines (01014)s.jpg|Rhododendrites|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Clementines_(01014)s.jpg
pomelo|File:Sweetie (Citrus).jpg|Yot (he:משתמש:יות)|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Sweetie_(Citrus).jpg
yam|File:Dioscorea alata - Purple yam tuber - Mindanao, Philippines.jpg|Obsidian Soul|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Dioscorea_alata_-_Purple_yam_tuber_-_Mindanao,_Philippines.jpg
snappeas|File:Sugar Snap Pea.JPG|Brianga|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Sugar_Snap_Pea.JPG
beansprouts|File:Mung bean sprouts, close-up.jpg|pics_pd|CC0|https://commons.wikimedia.org/wiki/File:Mung_bean_sprouts,_close-up.jpg
arugula|File:Eruca sativa sl5.jpg|Stefan.lefnaer|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Eruca_sativa_sl5.jpg
cornsalad|File:Corn salad, spring, close up.JPG|Unknown|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Corn_salad,_spring,_close_up.JPG
collardgreens|File:Collard greens perking up after long cold spell - Flickr - naturalflow.jpg|naturalflow|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:Collard_greens_perking_up_after_long_cold_spell_-_Flickr_-_naturalflow.jpg
mustardgreens|File:Curly mustard leaves.jpg|Jim Conrad|Public domain|https://commons.wikimedia.org/wiki/File:Curly_mustard_leaves.jpg
