E29 «Guess the Gaming Logo» — image attributions
Source: Wikimedia Commons / Wikipedia. Trademark logos used nominatively (logo/wordmark only).
Format: slug | name | file | author | license | source URL
--------------------------------------------------------------------------------
minecraft | Minecraft | Minecraft Logo-en.svg | Mojang Studios | Public domain | https://commons.wikimedia.org/wiki/File:Minecraft_Logo-en.svg
fortnite | Fortnite | Fortnite logo 2.svg | Epic Games | Public domain | https://commons.wikimedia.org/wiki/File:Fortnite_logo_2.svg
xbox | Xbox | Xbox One logo wordmark.svg | Microsoft | Public domain | https://commons.wikimedia.org/wiki/File:Xbox_One_logo_wordmark.svg
playstation | PlayStation | PlayStation logo and wordmark.svg | Sony Interactive Entertainment | Public domain | https://commons.wikimedia.org/wiki/File:PlayStation_logo_and_wordmark.svg
nintendo | Nintendo | Nintendo logo.svg | Nintendo | Public domain | https://commons.wikimedia.org/wiki/File:Nintendo_logo.svg
pokemon | Pokémon | International Pokémon logo.svg | Nintendo | Public domain | https://commons.wikimedia.org/wiki/File:International_Pok%C3%A9mon_logo.svg
supermario | Super Mario | Super Mario logo.svg | Nintendo | Public domain | https://commons.wikimedia.org/wiki/File:Super_Mario_logo.svg
roblox | Roblox | Roblox Logo 2022.svg | Roblox Corporation | Public domain | https://commons.wikimedia.org/wiki/File:Roblox_Logo_2022.svg
amongus | Among Us | Among Us Logo.svg | InnerSloth LLC, originally uploaded by User:RiskiMuhammad11 | Public domain | https://commons.wikimedia.org/wiki/File:Among_Us_Logo.svg
callofduty | Call of Duty | Call of Duty Ghosts logo.svg | Original: Activision/Infinity Ward Derivative work: StomboyCarGeek The original uploader was THeKiLLeR17 at Italian Wiki | Public domain | https://commons.wikimedia.org/wiki/File:Call_of_Duty_Ghosts_logo.svg
gta | Grand Theft Auto | Grand Theft Auto III logo.svg | Rockstar Games / Take-Two Interactive | Public domain | https://commons.wikimedia.org/wiki/File:Grand_Theft_Auto_III_logo.svg
