# GuessSync E43 — Guess the Horse Breed — Photo Attributions (Wikimedia Commons)
# format: slug | name | author | license | source_url

arabian | Arabian | Ealdgyth | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Halterstandingshotarabianone.jpg
thoroughbred | Thoroughbred | Carine06 from UK | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Tidal_Bay_(13046633744).jpg
mustang | Mustang | Ealdgyth | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Mustanggelding.jpg
clydesdale | Clydesdale | Bonnie U. Gruenberg | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Clydesdale_horse_by_Bonnie_Gruenberg.JPG
shetland | Shetland Pony | Own work | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:289-o-Galant-SWE-71-SH-03.jpg
appaloosa | Appaloosa | Darrell Dodds (license held by Appaloosas) | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:THIEL_619.jpg
friesian | Friesian | Larissa Allen | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Friesian_Horse_Side_View_3.jpg
shire | Shire | Anthony Appleyard at English Wikipedia | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Aa_shirehorse.jpg
quarterhorse | American Quarter Horse | Rumo | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Roan.jpg
palomino | Palomino | (a friend of) Kvetina-Marie | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Mare_and_foal_(Kvetina-Marie).jpg
andalusian | Andalusian | Just chaos | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Andalusian.jpg
lipizzaner | Lipizzaner | AtjanHop | CC0 | https://commons.wikimedia.org/wiki/File:Lipizzaner_Conversano_Traviata.jpg
percheron | Percheron | Eponimm | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Cheval-percheron-gris_SDA2014_(cropped).jpg
welshpony | Welsh Pony | Hanna V | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Welshb_shangri-la.JPG
icelandic | Icelandic Horse | Dagur Brynjólfsson | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:043_S%C3%A6var_fr%C3%A1_Stangarholti.jpg
haflinger | Haflinger | Matthias Walther | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Haflinger_Westfalensonne_und_Almfee.JPG
morgan | Morgan | Photo: Anthony Domire JR. | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:ChestnutSilver.jpg
paint | American Paint Horse | Unknown | CC BY 2.5 | https://commons.wikimedia.org/wiki/File:Paint_Horse_REFON.jpg
belgian | Belgian | Jacquesverlaeken | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Huizingen_Belgian_draft_horse_056.jpg
hanoverian | Hanoverian | Craig Maccubbin | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Lantinus_and_Lynch.jpg
connemara | Connemara Pony | Satu Pitkänen | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Connemara_mare.jpg
gypsyvanner | Gypsy Vanner | Mary E. Graybeal | Public domain | https://commons.wikimedia.org/wiki/File:GypsyMareLeft.jpg
miniature | Miniature Horse | Just chaos | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Miniature_Horse2.jpg
standardbred | Standardbred | Izzypie Isabella Marks, AU | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Standardbred_Hunter.jpg
americansaddlebred | American Saddlebred | Just chaos | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:American_Saddlebred3.jpg
tennesseewalker | Tennessee Walking Horse | Just chaos | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Tennessee_Walking_Horse2.jpg
dutchwarmblood | Dutch Warmblood | Remy Overkempe | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Ubility.jpg
trakehner | Trakehner | Лена | Public domain | https://commons.wikimedia.org/wiki/File:Traken.jpg
oldenburg | Oldenburg | Martin Bahmann | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Bess2.jpg
holsteiner | Holsteiner | Unknown | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Holsteiner_Apfelschimmel-2005.jpg
sellefrancais | Selle Français | The original uploader was Karlyne at French Wikipedia. | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Cheval_selle.JPG
irishsporthorse | Irish Sport Horse | Wasechun tashunka | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Irish_Sport_Horse_-_Assagart_Lord_Lancer_standing.jpg
