GuessSync E50 - "Guess the Mushroom" - Image Attributions
100 real fungus photos sourced from Wikimedia Commons / Wikipedia.
All images are Public Domain, CC0, CC BY, or CC BY-SA. Files under CC BY / CC BY-SA
require crediting the author + license; the lines below satisfy that requirement.
Generated 2026-07-11. Format:  slug | name | author | license | source
==========================================================================================
button | Button Mushroom | chris_73 | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:ChampignonMushroom.jpg
portobello | Portobello | 0x010C | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:2016-01_Agaricus_bisporus_03.jpg
shiitake | Shiitake | frankenstoen from Portland, Oregon | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Shiitakegrowing.jpg
flyagaric | Fly Agaric | Onderwijsgek | CC BY-SA 3.0 nl | https://commons.wikimedia.org/wiki/File:Amanita_muscaria_3_vliegenzwammen_op_rij.jpg
chanterelle | Chanterelle | Unknown | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Chanterelle_Cantharellus_cibarius.jpg
porcini | Porcini | ReddishClover | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Boletus_edulis_IT.jpg
oyster | Oyster Mushroom | voir ci-dessous / see below | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Pleurotus_ostreatus_JPG7.jpg
morel | Morel | TOMMES-WIKI | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Morchella_esculenta_-_DE_-_TH_-_2013-05-01_-_01.JPG
blacktruffle | Black Truffle | This illustration was made by (User:Royonx) and released under the license(s) stated above. You are free to use it for any purpose as long as you credit me and follow the terms of the license. Example : © Michel Royon / Wikimedia Commons If you use this image outside of the Wikimedia projects, I would be happy to hear from you par courriel ( royonx gmail.com). Thanks ! Ce message en français | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Truffe_nature.JPG
enoki | Enoki | frankenstoen | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Flammulina_velutipes_(Enokitake,_winter_mushroom).jpg
puffball | Common Puffball | Daniel Ullrich, Threedots | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Single_lycoperdon_perlatum.jpg
deathcap | Death Cap | Archenzo | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Amanita_phalloides_1.JPG
kingoyster | King Oyster | Diego Delso | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Seta_de_cardo_(Pleurotus_eryngii),_2012-10-03,_DD_01.JPG
maitake | Hen of the Woods | Lukas from London, England | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Grifola_frondosa_(29715305790).jpg
