GuessSync MUSHROOMS2 - "Guess the Mushroom 2" - Image Attributions
100 real fungi photos sourced from Wikimedia Commons / Wikipedia.
All images are Public Domain, CC0, CC BY, CC BY-SA, or FAL. Files under CC BY / CC BY-SA / FAL
require crediting the author + license; the lines below satisfy that requirement.

Format:  slug | name | author | license | source
lobstermushroom | Lobster Mushroom | Sharksbaja | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Hypomyces_lactifluorum.JPG
splitgill | Split Gill | Bernard Spragg. NZ from Christchurch, New Zealand | CC0 | https://commons.wikimedia.org/wiki/File:Schizophyllum_commune_(Split_gill)_(33389628036).jpg
commoninkcap | Common Ink Cap | James Lindsey | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Coprinopsis_atramentaria_3_-_Lindsey.jpg
fairyinkcap | Fairy Inkcap | Alan Rockefeller | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Coprinellus_disseminatus_group.jpg
dogstinkhorn | Dog Stinkhorn | Holger Krisp | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Gemeine_Hundsrute_Mutinus_caninus.JPG
winterchanterelle | Winter Chanterelle | Miika Silfverberg from Vantaa, Finland | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Craterellus_tubaeformis_1345904803_69350246bb_o.jpg
blackmorel | Black Morel | Holger Krisp | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Morchella_elata_Spitzmorchel_Morchella_conica.jpg
nameko | Nameko | Hillbourne | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Pholiota_nameko_culture.JPG
elmoyster | Elm Oyster | This image was created by user Matt Welter (mattfungus) at Mushroom Observer, a source for mycological images.You can contact this user here. | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Hypsizygus_ulmarius_(Bull.)_Redhead_383230.jpg
falsedeathcap | False Death Cap | Norbert Nagel | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Amanita_citrina_-_Gelber_Knollenbl%C3%A4tterpilz_-_false_death_cap_-_Citron_Amanita_-_Amanita_citrina_-_01.jpg
