GuessSync E63 — «Guess the Nut or Seed» — Image Attributions
100 real nut / seed / legume photos sourced from Wikimedia Commons / Wikipedia.
Images are Public Domain, CC0, CC BY, CC BY-SA, or FAL. CC BY / CC BY-SA / FAL
require crediting the author + license; the lines below satisfy that.
Format: slug — Name | Author | License | Source
===========================================================================

[EASY]
almond — Almond | Ivar Leidus | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Almonds%20-%20in%20shell%2C%20shell%20cracked%20open%2C%20shelled%2C%20blanched.jpg
walnut — Walnut | Potkettle | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Whole%20walnut%20kernel%20and%20shell.jpg
peanut — Peanut | Ivar Leidus | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Peanuts%20(Arachis%20hypogaea)%20-%20in%20shell%2C%20shell%20cracked%20open%2C%20shelled%2C%20peeled.jpg
cashew — Cashew | Ranjithkumar Murugesan | CC0 | https://commons.wikimedia.org/wiki/File:CASHEW%20NUTS.jpg
pistachio — Pistachio | Hedi Aghlara | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Kernel%20Pistachio.JPG
hazelnut — Hazelnut | William Ismael | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Hazelnuts%20without%20shell.jpg
pecan — Pecan | Scott Bauer | Public domain | https://commons.wikimedia.org/wiki/File:Pecans.jpg
sunflowerseed — Sunflower Seed | Kritzolina | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Sunflower%20with%20seeds%2002.jpg
pumpkinseed — Pumpkin Seed | Daniel Schwen | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Pumpkin%20Seeds%20macro%201.jpg
chestnut — Chestnut | Dominicus Johannes Bergsma | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Afgevallen%20kastanje%20van%20een%20Tamme%20kastanje%20(Castanea%20sativa)%2017-10-2021%20(d.j.b.)%2001.jpg
coconut — Coconut | Ivar Leidus | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Coconuts%20-%20single%20and%20cracked%20open.jpg
pinenut — Pine Nut | Quadell | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Pine%20nuts.jpg
macadamia — Macadamia | စာကလေး SarKaLay | CC0 | https://commons.wikimedia.org/wiki/File:Macadamia%20nuts.jpg
brazilnut — Brazil Nut | רנדום | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Bertholletia%20excelsa%20seeds%20closeup.jpg
chiaseed — Chia Seed | Magister Mathematicae | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Semillas%20de%20Ch%C3%ADa.jpg
flaxseed — Flax Seed | Bdevel (talk · contribs) | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Flax%20seeds.jpg
sesameseed — Sesame Seed | Sanjay ach | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Sa%20white%20sesame%20seeds.jpg
lentil — Lentil | User:Justinc | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:3%20types%20of%20lentil.jpg
