GuessSync E61 — «Guess the Pasta» — Image Attributions
All images from Wikimedia Commons. 100 pasta shapes.
Format: slug — Name | Author | License | Source
=======================================================================

[EASY]
spaghetti — Spaghetti | Nnaluci | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Spaghettoni.jpg
penne — Penne | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Pennelisce_closeup.png
macaroni — Macaroni | Unknown | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Macaroni%20closeup.jpg
fusilli — Fusilli | rjp from London, UK | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Fusilli.jpg
farfalle — Farfalle | Liveon001 © Travis K. Witt | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Farfalle_Pasta.JPG
lasagne — Lasagne | jules / stonesoup | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Lasagne_-_stonesoup.jpg
ravioli — Ravioli | cyclonebill | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Flickr_-_cyclonebill_-_Ravioli_med_skinke_og_asparges_i_mascarponecreme.jpg
rigatoni — Rigatoni | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Rigatoni.jpg
fettuccine — Fettuccine | LPLT | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Fettucine1.JPG
linguine — Linguine | Sebastian Zurkuhl (= Circle357) | CC BY-SA 2.0 de | https://commons.wikimedia.org/wiki/File:Linguine.jpg
tortellini — Tortellini | Angelo.Muratore | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Tortellini_Bolognesi.jpg
gnocchi — Gnocchi | Paoletta S. | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Gnocchi_di_ricotta_burro_e_salvia.jpg
cannelloni — Cannelloni | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Cannelloni2.png
vermicelli — Vermicelli | Glane23 | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Fideo_(coiled_vermicelli).JPG
ziti — Ziti | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Ziti.jpg
tagliatelle — Tagliatelle | Mathias Braux | Public domain | https://commons.wikimedia.org/wiki/File:Dry%20tagliatelle%20pasta.jpg
conchiglie — Conchiglie | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Conchiglie_rigate.png
rotini — Rotini | E. Michael Smith Chiefio | CC BY 2.5 | https://commons.wikimedia.org/wiki/File:EMS-RotelleS-Rotini-120250.JPG
orzo — Orzo | Fazal Majid | Public domain | https://commons.wikimedia.org/wiki/File:Orzo.jpg
pappardelle — Pappardelle | Popo le Chien | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Pappardelle.jpg
manicotti — Manicotti | E. Michael Smith Chiefio | CC BY 2.5 | https://commons.wikimedia.org/wiki/File:EMS-109321-Manicotti-rule..JPG
capellini — Capellini | Popo le Chien | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Capelli_angelo_front.jpg
rotelle — Rotelle | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Rotelle2.jpg
