GuessSync E59 — «Guess the Primate» — Image Attributions
All images from Wikimedia Commons / Wikipedia. 100 primate species.
Format: slug — Name | Author | License | Source
=======================================================================

[EASY]
chimpanzee — Chimpanzee | Giles Laurent | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:015_Chimpanzee_at_Kibale_forest_National_Park_Photo_by_Giles_Laurent.jpg
gorilla — Gorilla | Brocken Inaglory | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Male_gorilla_in_SF_zoo.jpg
orangutan — Orangutan | Nanosanchez | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Tanjung_Puting30477.jpg
baboon — Baboon | Muhammad Mahdi Karim | GFDL 1.2 | https://commons.wikimedia.org/wiki/File:Olive_baboon_Ngorongoro.jpg
mandrill — Mandrill | Katma0601 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Mandrill_Albert_September_2015_Zoo_Berlin_(2).jpg
ringtailedlemur — Ring-tailed Lemur | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Ring-tailed_lemur_(Lemur_catta).jpg
gibbon — Gibbon | User:MatthiasKabel | CC BY 2.5 | https://commons.wikimedia.org/wiki/File:Hylobates_lar_pair_of_white_and_black_01.jpg
rhesusmacaque — Rhesus Macaque | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Rhesus_macaque_(Macaca_mulatta_mulatta),_male,_Gokarna.jpg
capuchin — Capuchin Monkey | David M. Jensen (Storkk) | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Capuchin_Costa_Rica.jpg
spidermonkey — Spider Monkey | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Geoffroy%27s_spider_monkey_(Ateles_geoffroyi_yucatanensis)_male_Peten.jpg
marmoset — Marmoset | Raimond Spekking | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Wei%C3%9Fb%C3%BCschelaffe_(Callithrix_jacchus).jpg
howlermonkey — Howler Monkey | Dr. Ariel Rodriguez-Vargas | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Panamanian_Male_Adult_Howler_Monkey.jpg
proboscismonkey — Proboscis Monkey | David Dennis | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Proboscis_Monkey_in_Borneo.jpg
tarsier — Tarsier | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Philippine_tarsier_(Carlito_syrichta_fraterculus)_Bohol.jpg
bonobo — Bonobo | natataek | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Apeldoorn_Apenheul_zoo_Bonobo.jpg
japanesemacaque — Japanese Macaque | Rocktendo &amp; Adam Gman | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Japanese_Snow_Monkey_(Macaque)_Mother_Grooms_Her_Young.jpg
squirrelmonkey — Squirrel Monkey | ggallice (Geoff Gallice) | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Mono_ardilla_-_Saimiri_sciureus.jpg
