GuessSync E45 - "Guess the Reptile" - Image Attributions
100 real reptile photos sourced from Wikimedia Commons / Wikipedia.
All images are Public Domain, CC0, CC BY, CC BY-SA, or FAL. Files under CC BY / CC BY-SA / FAL
require crediting the author + license; the lines below satisfy that requirement.
Generated 2026-07-11. Format:  slug | name | author | license | source

greeniguana | Green Iguana | Hans Hillewaert | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Iguana_iguana_(male_resting).jpg
komododragon | Komodo Dragon | James Jolokia (james1203) | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:202306_Varanus_komodoensis.jpg
veiledchameleon | Veiled Chameleon | Kupos | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Yemen_Chameleon.jpg
greenseaturtle | Green Sea Turtle | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Green_sea_turtle_(Chelonia_mydas)_Moorea.jpg
nilecrocodile | Nile Crocodile | Dewet | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:NileCrocodile.jpg
americanalligator | American Alligator | User:Postdlf | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:American_Alligator.jpg
leopardgecko | Leopard Gecko | Matt Reinbold | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Eublepharis_macularius1.jpg
beardeddragon | Bearded Dragon | Photograph: Frank C. Müller, Baden-Baden | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Bartagame_(fcm).jpg
gilamonster | Gila Monster | Blueag9 | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Gila_monster2.JPG
galapagostortoise | Galápagos Tortoise | Mfield, Matthew Field, http://www.photography.mattfield.com | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Galapagos_giant_tortoise_Geochelone_elephantopus.jpg
pantherchameleon | Panther Chameleon | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Panther_chameleon_(Furcifer_pardalis)_male_Nosy_Be.jpg
saltwatercrocodile | Saltwater Crocodile | Tisha Mukherjee | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Saltwater_crocodile_in_Sundarbans_National_Park_November_2024_by_Tisha_Mukherjee_03.jpg
marineiguana | Marine Iguana | RAF-YYC from Calgary, Canada | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Amblyrhynchus_cristatus_(3838137696).jpg
tokaygecko | Tokay Gecko | Gerard Chartier | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Gekko_gecko_192144834.jpg
redearedslider | Red-eared Slider | Greg Hume | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:RedEaredSlider05.jpg
frilledlizard | Frilled Lizard | Matt from Melbourne, Australia | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Frill-necked_Lizard_(Chlamydosaurus_kingii)_(8692622586).jpg
hornedlizard | Horned Lizard | (c) Juan Cruzado Cortés, some rights reserved (CC BY-SA) | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Mountain_Horned_Lizard,_Tutuaca,_Chihuahua_imported_from_iNaturalist_photo_411168.jpg
bluetongueskink | Blue-tongued Skink | JJ Harrison (https://www.jjharrison.com.au/) | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Tiliqua_scincoides_scincoides.jpg
leatherbackturtle | Leatherback Turtle | U.S. Fish and Wildlife Service Southeast Region | Public domain | https://commons.wikimedia.org/wiki/File:Leatherback_sea_turtle_Tinglar,_USVI_(5839996547).jpg
snappingturtle | Snapping Turtle | Unknown | Public domain | https://commons.wikimedia.org/wiki/File:Common_Snapping_Turtle_1994.jpg
housegecko | House Gecko | Basile Morin | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Common_House_Gecko_with_open_mouth,_in_Laos.jpg
kingcobra | King Cobra | Michael Allen Smith from Seattle, USA | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:12_-_The_Mystical_King_Cobra_and_Coffee_Forests.jpg
ballpython | Ball Python | HCA (talk) | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Ball_python_lucy.JPG
greenanaconda | Green Anaconda | MKAMPIS | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Sucuri_verde.jpg
easternboxturtle | Box Turtle | (c) Joshua Liverman, some rights reserved (CC BY) | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Eastern_Box_Turtle,_North_Carolina,_US_imported_from_iNaturalist_photo_71168521_(cropped).jpg
jacksonschameleon | Jackson's Chameleon | Movingsaletoday edited by Muhammad | Public domain | https://commons.wikimedia.org/wiki/File:Jackson%27s_Chameleon_2_edit1.jpg
chinesewaterdragon | Chinese Water Dragon | Rushenb | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Chinese_Water_Dragon_(Physignathus_cocincinus)_-_Khao_Yai_National_Park_-_1.jpg
plumedbasilisk | Green Basilisk | Marcel Burkhard/ Cele4, www.tierlexikon.ch | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Plumedbasiliskcele4_edit.jpg
savannahmonitor | Savannah Monitor | KKPCW | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Savannah_monitor_in_the_glass_case.jpg
americancrocodile | American Crocodile | Tomás Castelazo | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Crocodylus_acutus_mexico_02-edit1.jpg
spectacledcaiman | Spectacled Caiman | Berrucomons | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Caiman_crocodilus_llanos_white_background.JPG
hawksbillturtle | Hawksbill Turtle | Thierry Caro | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Eretmochelys-imbricata-K%C3%A9lonia-2.JPG
loggerheadturtle | Loggerhead Turtle | ukanda | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Loggerhead_sea_turtle.jpg
aldabratortoise | Aldabra Tortoise | Yotcmdr | Public domain | https://commons.wikimedia.org/wiki/File:Giant_Tortoise.JPG
leopardtortoise | Leopard Tortoise | Bernard DUPONT from FRANCE | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Leopard_Tortoise_(Stigmochelys_pardalis)_(17331907085).jpg
russiantortoise | Russian Tortoise | Yuriy75 | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Testudo_horsfieldii;_Baikonur_001.jpg
crestedgecko | Crested Gecko | annakilljoy, moderator of geckoleo.com/forum | Public domain | https://commons.wikimedia.org/wiki/File:Gekkoninae_Rhacodactylus_ciliatus_tete.png
madagascardaygecko | Day Gecko | Manuel Werner, Nürtingen, Germany | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Madagascariensis2.jpg
uromastyx | Uromastyx | איתן פרמן | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Uromastyx_aegyptia_2.jpg
argentinetegu | Argentine Tegu | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Argentine_black_and_white_tegu_(Salvator_merianae)_male_Vicente_Lopez.jpg
desertiguana | Desert Iguana | Wilson44691 | CC0 | https://commons.wikimedia.org/wiki/File:DesertIguana031611.jpg
sailfinlizard | Sailfin Lizard | Janine Jaylo Lerios | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Philippine_Sailfin_Dragon.jpg
thornydevil | Thorny Devil | Bäras (talk · contribs) | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Thornydevil.jpg
collaredlizard | Collared Lizard | Dakota L. | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Common_Collared_Lizard.jpg
paintedturtle | Painted Turtle | MH Herpetology | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Painted_turtle_(Chrysemys_picta)_Madden_Haag.jpg
boaconstrictor | Boa Constrictor | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Red-tailed_boa_(Boa_constrictor_constrictor)_Rio_Napo.jpg
cornsnake | Corn Snake | Unknown | Public domain | https://commons.wikimedia.org/wiki/File:Kornnatter.jpg
westerndiamondback | Diamondback Rattlesnake | Gary Stolz (original) | Public domain | https://commons.wikimedia.org/wiki/File:Crotalus_atrox_USFWS.jpg
gharial | Gharial | User Greverod on sv.wikipedia | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Gavialis_gangeticus_(Gharial,_Gavial)_white_background.jpg
spinytailediguana | Spiny-tailed Iguana | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Black_iguana_(Ctenosaura_similis)_Cayo.jpg
parsonschameleon | Parson's Chameleon | JialiangGao www.peace-on-earth.org | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Calumma_Parsonii_Ste_Marie_Madagascar.jpg
flapneckchameleon | Flap-necked Chameleon | Bernard DUPONT from FRANCE | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Flap-neck_Chameleon_(Chamaeleo_dilepis)_(11567042266).jpg
perentie | Perentie | Bernard DUPONT from FRANCE | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Perentie_(Varanus_giganteus)_(10244734736).jpg
crocodilemonitor | Crocodile Monitor | Vassil | Public domain | https://commons.wikimedia.org/wiki/File:Amneville_Varanus_salvadorii_27082010_4.jpg
rockmonitor | Rock Monitor | Bernard DUPONT from FRANCE | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:White-throated_Monitor_(Varanus_albigularis)_(32184691034).jpg
muggercrocodile | Mugger Crocodile | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Mugger_crocodile_(Crocodylus_palustris)_Gal_Oya.jpg
moreletcrocodile | Morelet's Crocodile | User:GautierPoupeau | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Crocodile_de_Morelet.jpeg
yacarecaiman | Yacare Caiman | Bernard DUPONT from FRANCE | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Yacare_Caiman_(Caiman_Yacare)_-_Flickr_-_berniedup.jpg
matamata | Mata Mata | J. Patrick Fischer | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:2009_Chelus_fimbriatus.JPG
