GuessSync REPTILES2 - "Guess the Reptile 2" - Image Attributions
100 real reptile photos sourced from Wikimedia Commons / Wikipedia.
All images are Public Domain, CC0, CC BY, CC BY-SA, or FAL. Files under CC BY / CC BY-SA / FAL
require crediting the author + license; the lines below satisfy that requirement.
Format:  slug | name | author | license | source

asianwatermonitor | Asian Water Monitor | Carlos Delgado | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Varanus_salvator_-_01.jpg
nilemonitor | Nile Monitor | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Nile_monitor_(Varanus_niloticus)_2.jpg
chinesealligator | Chinese Alligator | Greg Hume | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:ChineseAlligator15.JPG
cubancrocodile | Cuban Crocodile | Yelles | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Crocodylus_Rhombifer.JPG
greenanole | Green Anole | Paul Hirst (Phirst) | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Anole_Lizard_Hilo_Hawaii_edit.jpg
commonchameleon | Common Chameleon | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Mediterranean_chameleon_(Chamaeleo_chamaeleon_recticrista).jpg
giantdaygecko | Giant Day Gecko | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Madagascar_giant_day_gecko_(Phelsuma_grandis)_Nosy_Komba.jpg
indianstartortoise | Indian Star Tortoise | Davidvraju | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Indian_star_tortoise_(2016)_7365.jpg
redfootedtortoise | Red-footed Tortoise | Bjoertvedt | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Geochelone_carbonaria_IMG_4978.jpg
diamondbackterrapin | Diamondback Terrapin | Ryan Hagerty | Public domain | https://commons.wikimedia.org/wiki/File:Diamond_terrapin_turtle_reptile_malaclemys_terrapin.jpg
softshellturtle | Softshell Turtle | Unknown | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Pelodiscus.jpg
muskturtle | Musk Turtle | Ontley | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Stinkpot_Turtle_(cropped).jpg
blackcaiman | Black Caiman | Rigelus | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Melanosuchus_niger_in_Moscow_zoo.jpg
siamesecrocodile | Siamese Crocodile | Rigelus | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Crocodylus_siamensis_in_moscow_zoo_01.jpg
dwarfcrocodile | Dwarf Crocodile | Thesupermat | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Crocodile_nain_aquarium_porte_dor%C3%A9e_Paris.JPG
bengalmonitor | Bengal Monitor | Shantanu Kuveskar | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Bengal_monitor_(Varanus_bengalensis)_Photograph_by_Shantanu_Kuveskar.jpg
fireskink | Fire Skink | User:Haplochromis | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Riopa_fernandi.jpg
namaquachameleon | Namaqua Chameleon | Yathin S Krishnappa | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Chamaeleo_namaquensis_(Walvis_Bay).jpg
bluetreemonitor | Blue Tree Monitor | Hectonichus | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Varanidae_-_Varanus_macraei.JPG
lacemonitor | Lace Monitor | Bidgee | CC BY-SA 3.0 au | https://commons.wikimedia.org/wiki/File:Lace_monitor_(Varanus_varius),_photographed_in_the_Kindra_State_Forest.jpg
brownanole | Brown Anole | Nosferattus | CC0 | https://commons.wikimedia.org/wiki/File:Brown_Anole_(Anolis_sagrei).jpg
yellowfoottortoise | Yellow-foot Tortoise | Casey Klebba | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Yellow-footed_tortoise.jpg
fattailedgecko | Fat-tailed Gecko | Unknown | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Hemitheconyx_caudicinctus.jpg
goldengecko | Golden Gecko | Paolo Tonon | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Gekko_Ulikovskii.jpg
walllizard | Wall Lizard | Mariomassone | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Podarcis_muralis_near_Entella_river_006.jpg
cuvierdwarfcaiman | Cuvier's Dwarf Caiman | Emőke Dénes | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Hul_-_Paleosuchus_palpebrosus_-_2.jpg
broadsnoutcaiman | Broad-snout Caiman | Miguelrangeljr | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Jacare_de_papo_amarelo_zoo.jpg
orinococrocodile | Orinoco Crocodile | Chrislorenz9 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Orinoco_Crocodile.jpg
philippinecrocodile | Philippine Crocodile | Gregg Yan | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Crocodylus_mindorensis_by_Gregg_Yan_01.jpg
freshwatercrocodile | Freshwater Crocodile | Mark Marathon | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Freshwater_crocodile.jpg
reevesturtle | Reeves's Turtle | Greg Peterson | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Mauremys_reevesii_Chinese_Pond_Turtle_%E3%82%AF%E3%82%B5%E3%82%AC%E3%83%A1.jpg
europeanpondturtle | European Pond Turtle | Christian Ursilva from København, Danmark | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Emys_orbicularis_by_Christian_Ursilva.jpg
mapturtle | Map Turtle | The original uploader was Dawson at English Wikipedia. | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Graptemys_pseudogeographica.jpg
woodturtle | Wood Turtle | Ltshears | Public domain | https://commons.wikimedia.org/wiki/File:WoodTurtle.jpg
spottedturtle | Spotted Turtle | hug_78 | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Spotted_Turtle_Virginia_March_2023.jpg
bogturtle | Bog Turtle | U.S. Fish and Wildlife Service Southeast Region | Public domain | https://commons.wikimedia.org/wiki/File:Bog_turtle_(18715348936).jpg
marginatedtortoise | Marginated Tortoise | Unknown | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Testudo_marginata7.jpg
spidertortoise | Spider Tortoise | Klaus Rudloff | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Pyxis_arachnoides_brygooi.jpg
gophertortoise | Gopher Tortoise | Judy Gallagher | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Gopher_Tortoise_-_Gopherus_polyphemus,_Lake_June-in-Winter_Scrub_State_Park,_Lake_Placid,_Florida_-_31527638716.jpg
deserttortoise | Desert Tortoise | Tigerhawkvok | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Gopherus_agassizii.jpg
oustaletschameleon | Oustalet's Chameleon | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Oustalet%27s_chameleon_(Furcifer_oustaleti)_male_Montagne_d%E2%80%99Ambre.jpg
carpetchameleon | Carpet Chameleon | Bernard DUPONT from FRANCE | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Carpet_Chameleon_(Furcifer_lateralis)_(10292845744).jpg
mellerschameleon | Meller's Chameleon | Adrian Pingstone | Public domain | https://commons.wikimedia.org/wiki/File:Mellers.chameleon.bristol.zoo.arp.jpg
newcaledoniangecko | New Caledonian Gecko | Lennart Hudel | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Rhacodactylus_leachianus_33603748.jpg
moorishgecko | Moorish Gecko | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Common_wall_gecko_(Tarentola_mauritanica)_Huelva.jpg
standingsdaygecko | Standing's Day Gecko | Hectonichus | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Gekkonidae_-_Phelsuma_standingi.JPG
electricbluegecko | Electric Blue Gecko | Esther Böck; AnimalBase.info | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Lygodactylus-williamsi.jpg
fivelinedskink | Five-lined Skink | Virginia State Parks staff | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:DO_-_Common_Five-lined_Skink_(Plestiodon_fasciatus)_(4073328823).jpg
