GuessSync SEA2 - "Guess the Sea Creature v2" - Image Attributions
100 real marine-animal photos sourced from Wikimedia Commons / Wikipedia.
All images are Public Domain, CC0, CC BY, CC BY-SA, or FAL. Files under CC BY / CC BY-SA / FAL
require crediting the author + license; the lines below satisfy that requirement.
Generated 2026-07-19. Format:  slug | name | author | license | source

gray-whale | Gray Whale | José Eugenio Gómez Rodríguez | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Ballena_gris_adulta_con_su_ballenato.jpg
blue-whale | Blue Whale | NOAA Photo Library | Public domain | https://commons.wikimedia.org/wiki/File:Anim1754_-_Flickr_-_NOAA_Photo_Library.jpg
sperm-whale | Sperm Whale | Gabriel Barathieu | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Mother_and_baby_sperm_whale.jpg
fin-whale | Fin Whale | Aqqa Rosing-Asvid - Visit Greenland | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Finhval_(1).jpg
minke-whale | Minke Whale | National Marine Sanctuaries | Public domain | https://commons.wikimedia.org/wiki/File:SBNMS_-_Minke_Whale_-_Breach_(28670557361).jpg
right-whale | Right Whale | National Marine Sanctuaries | Public domain | https://commons.wikimedia.org/wiki/File:GRNMS_-_Right_Whales_(31361234602).jpg
pilot-whale | Pilot Whale | gailhampshire from Cradley, Malvern, U.K | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Pilot_Whale_-_Flickr_-_gailhampshire.jpg
dugong | Dugong | Gejuni | CC BY-SA 3.0 de | https://commons.wikimedia.org/wiki/File:Dugong.JPG
elephant-seal | Elephant Seal | Antoine Lamielle | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:2020-11_Kerguelen_Islands_-_Southern_elephant_seal_30.jpg
leopard-seal | Leopard Seal | Godot13 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Antarctic_Sound-2016-Brown_Bluff%E2%80%93Leopard_seal_(Hydrurga_leptonyx)_04.jpg
harp-seal | Harp Seal | Brian Gratwicke from DC, USA | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Harp_Seal_(Pagophilus_groenlandicus),_Greenland_Sea_IMG_5075.jpg
spinner-dolphin | Spinner Dolphin | Chris_huh | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Spinner_dolphin_size.svg
giant-squid | Giant Squid | Marc Watkins | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Giant_squid,_Spirit_Tour,_Natural_History_Museum,_London_02.JPG
humboldt-squid | Humboldt Squid | ZoologicalLee | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Humbolt_squid_tentacles_and_beak.jpg
box-jellyfish | Box Jellyfish | Avispa marina.jpg: Guido Gautsch, Toyota, Japan derivative work: Mithril (talk) | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Avispa_marina_cropped.png
portuguese-man-o-war | Man O' War | Image courtesy of Islands in the Sea 2002, NOAA/OER. | Public domain | https://commons.wikimedia.org/wiki/File:Portuguese_Man-O-War_(Physalia_physalis).jpg
coconut-crab | Coconut Crab | fearlessRich | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Birgus_latro_climbing.jpg
king-crab | King Crab | Dr. Roger Mann, VIMS | Public domain | https://commons.wikimedia.org/wiki/File:Spider_crab.jpg
spider-crab | Spider Crab | Diego Delso | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Centollo_(Maja_squinado),_Parque_natural_de_la_Arr%C3%A1bida,_Portugal,_2022-07-28,_DD_101-102_FS.jpg
fiddler-crab | Fiddler Crab | Daderot | CC0 | https://commons.wikimedia.org/wiki/File:Uca_vocans_-_National_Museum_of_Nature_and_Science,_Tokyo_-_DSC07545-002.JPG
staghorn-coral | Staghorn Coral | Albert Kok at Dutch Wikipedia (Original text: albert kok) | Public domain | https://commons.wikimedia.org/wiki/File:Hertshoon.jpg
brain-coral | Brain Coral | Unknown | Public domain | https://commons.wikimedia.org/wiki/File:Brain_coral.jpg
crown-of-thorns-starfish | Crown-of-thorns Star | Matt Wright | CC BY 2.5 | https://commons.wikimedia.org/wiki/File:CrownofThornsStarfish_Fiji_2005-10-12.jpg
giant-scallop | Giant Scallop | Dann Blackwood, USGS | Public domain | https://commons.wikimedia.org/wiki/File:Placopecten_magellanicus.jpg
spotted-eagle-ray | Spotted Eagle Ray | the manta ray had a family | Public domain | https://commons.wikimedia.org/wiki/File:Eagle_Ray_Turks_and_Caicos_Dec_15_2006.JPG
bowhead-whale | Bowhead Whale | Unknown | Public domain | https://commons.wikimedia.org/wiki/File:Bowheads42.jpg
false-killer-whale | False Killer Whale | Stefan Thiesen Buntrabe | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Pseudoorca_Crassidens_-_False_Killer_Whale.jpg
rissos-dolphin | Risso's Dolphin | AliceMartinelli8 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Grampo.jpg
dusky-dolphin | Dusky Dolphin | Unknown | Public domain | https://commons.wikimedia.org/wiki/File:Lagenorhynchus_obscurus.jpg
weddell-seal | Weddell Seal | This illustration was made by Samuel Blanc. If you plan on using it, an email to samuel @ sblanc.com would be greatly appreciated. | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:B%C3%A9b%C3%A9_Phoque_de_Weddell_-_Baby_Weddell_Seal.jpg
monk-seal | Monk Seal | E bailey | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Hawaiian_monk_seal_close-up_(Neomonachus_schauinslandi).jpg
ringed-seal | Ringed Seal | NOAA Seal Survey | Public domain | https://commons.wikimedia.org/wiki/File:Pusa_hispida_hispida_NOAA_1.jpg
vampire-squid | Vampire Squid | National Marine Sanctuaries | Public domain | https://commons.wikimedia.org/wiki/File:MBNMS_juvenile_vampire_squid_(49041024167).jpg
bigfin-reef-squid | Bigfin Reef Squid | Diego Delso | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Calamar_de_arrecifes_(Sepioteuthis_lessoniana),_Nosy_Iranja,_Madagascar,_2025-09-17,_DD_134.jpg
dumbo-octopus | Dumbo Octopus | NOAA Okeanos Explorer | Public domain | https://commons.wikimedia.org/wiki/File:Dumbo-hires_(cropped).jpg
sea-nettle | Sea Nettle Jelly | Jarek Tuszyński | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Washington_DC_Zoo_-_Crysaora_quinquecirrha_9.jpg
upside-down-jellyfish | Upside-down Jelly | Antonio Sontuoso | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Cassiopea_Jellyfish_(Cotylorhiza_tuberculata)_-_Mar_Jonio,_Italy.jpg
comb-jelly | Comb Jelly | Steven G. Johnson | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Sea_walnut,_Boston_Aquarium.jpg
ghost-crab | Ghost Crab | Hans Hillewaert | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Ocypode_quadrata_(Cahuita).jpg
sally-lightfoot-crab | Sally Lightfoot Crab | Nosferattus | CC0 | https://commons.wikimedia.org/wiki/File:Sally_Lightfoot_Crab_2019.jpg
japanese-spider-crab | Japanese Spider Crab | Lycaon (Hans Hillewaert) | CC BY 2.5 | https://commons.wikimedia.org/wiki/File:Macrocheira_kaempferi.jpg
