GuessSync E52 — «Guess the Seashell» — Image Attributions
100 real seashell photos sourced from Wikimedia Commons.
All images are Public Domain, CC0, CC BY, or CC BY-SA. Files under CC BY / CC BY-SA require
crediting the author + license; the lines below satisfy that requirement.
Generated 2026-07-11. Format:  slug | name | author | license | source
==========================================================================================
scallop | Scallop | Manfred Heyde | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Pecten_maximus_Pilgermuschel.jpg
queenconch | Queen Conch | Jennifer Doerr, NOAA SEFSC Galveston | Public domain | https://commons.wikimedia.org/wiki/File:Researcher_holding_juvenile_queen_conch.jpg
tigercowrie | Tiger Cowrie | H. Zell | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Cypraea_tigris_01.JPG
nautilus | Chambered Nautilus | Hans Hillewaert | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Nautilus_pompilius_(detail).jpg
giantclam | Giant Clam | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Giant_clam_(Tridacna_gigas)_Michaelmas_Cay.jpg
pacificoyster | Pacific Oyster | No machine-readable author provided. BetacommandBot assumed (based on copyright claims). | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Crassostrea_gigas_p1040847.jpg
sanddollar | Sand Dollar | RECOLNAT (ANR-11-INBS-0004) - Marie HENNION - 2015 | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Echinarachnius_parma.jpg
commonwhelk | Common Whelk | Hans Hillewaert | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Buccinum_undatum.jpg
redabalone | Red Abalone | James St. John | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Haliotis_rufescens_(red_abalone)_(San_Diego,_California,_USA)_2_(23572697844).jpg
commoncockle | Common Cockle | Féron Benjamin | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Coque_blanche_(Cerastoderma_edule).jpg
bluemussel | Blue Mussel | Rainer Zenz | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Miesmuscheln-2.jpg
periwinkle | Common Periwinkle | Photographed by Guttorm Flatabø (user:dittaeva). | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Sea_snail,_underneath,_full_view.jpg
commonlimpet | Common Limpet | Tango22 | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Common_limpets1.jpg
textilecone | Textile Cone | Richard Ling | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Textile_cone.JPG
razorshell | Razor Shell | No machine-readable author provided. Uwe kils assumed (based on copyright claims). | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Ensiskils.jpg
moonsnail | Moon Snail | Jerry Kirkhart | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Euspira_lewisii_2.jpg
tritontrumpet | Triton's Trumpet | Diego Delso | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Caracola_marina_(Charonia_Tritonis),_Cynthiana,_Pafos,_Chipre,_2021-12-11,_DD_14.jpg
truetulip | True Tulip | WhitA | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Fasciolaria_tulipa_2.jpg
spiderconch | Common Spider Conch | H. Zell | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Lambis_lambis_01.JPG
kinghelmet | King Helmet | Veronidae | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Cassis_tuberosa_003.jpg
marlinspike | Marlinspike Auger | davidd | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Acus_maculatus.jpg
greenturban | Green Turban | MerlinCharon | Public domain | https://commons.wikimedia.org/wiki/File:Turbo_marmoratus_light_2.jpg
quahog | Hard Clam | Ken Hammond | Public domain | https://commons.wikimedia.org/wiki/File:LittleNeck_clams_USDA96c1862.jpg
dyemurex | Spiny Dye-Murex | M.Violante | CC BY 2.5 | https://commons.wikimedia.org/wiki/File:Haustellum_brandaris_000.jpg
letteredolive | Lettered Olive | H. Zell | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Oliva_sayana_02.JPG
lightningwhelk | Lightning Whelk | No machine-readable author provided. Clmiadfl assumed (based on copyright claims). | Public domain | https://commons.wikimedia.org/wiki/File:Busycon-contrarium.jpg
