GuessSync E62 — «Guess the Herb or Spice» — Image Attributions
All images from Wikimedia Commons. 100 herbs & spices.
Format: slug — Name | Author | License | Source
=======================================================================

[EASY]
basil — Basil | Paul Goyette | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Basil%20leaves.jpg
oregano — Oregano | Miansari66 | Public domain | https://commons.wikimedia.org/wiki/File:Oregano%20dried.JPG
cinnamon — Cinnamon | Gnu-Bricoleur | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Pile%20of%20cinnamon%20sticks.jpg
blackpepper — Black Pepper | Misterneedlemouse | CC0 | https://commons.wikimedia.org/wiki/File:Tellicherry%20Black%20Peppercorns.jpg
ginger — Ginger | HaJunkiyada | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Liat%20Portal%20for%20Foodie%20Disorder%20-%20Fresh%20Ginger%20Root.jpg
rosemary — Rosemary | T137 | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Rosmarinus%20officinalis%20(1).jpg
thyme — Thyme | Evan-Amos | CC0 | https://commons.wikimedia.org/wiki/File:Thyme-Bundle.jpg
parsley — Parsley | HaJunkiyada | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Liat%20Portal%20for%20Foodie%20Disorder%20-%20Parsley.jpg
mint — Mint | Forest and Kim Starr | CC BY 3.0 us | https://commons.wikimedia.org/wiki/File:Starr-080608-7435-Mentha%20spicata-leaves-Water%20plant%20Sand%20Island-Midway%20Atoll%20(41264499822).jpg
cumin — Cumin | Sanjay Acharya | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Seeds%20of%20Cumin.jpg
paprika — Paprika | Ljiljana Sundać | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Aleva%20paprika.jpg
turmeric — Turmeric | Simon A. Eugster | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Curcuma%20longa%20roots.jpg
nutmeg — Nutmeg | Terrence Coombes | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Nutmeg%20ready.jpg
cloves — Cloves | Challiyan | CC0 | https://commons.wikimedia.org/wiki/File:Cloves%20from%20india.jpg
bayleaf — Bay Leaf | Fumikas Sagisavas | CC0 | https://commons.wikimedia.org/wiki/File:Dried%20bay%20leaves%20(20240502).jpg
chili — Chili | Sabina Bajracharya | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Capsicum%20annuum-Red%20Chilli%20Pepper%2001.jpg
vanilla — Vanilla | B.navez | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Vanilla%206beans.JPG
saffron — Saffron | Rainer Zenz | Public domain | https://commons.wikimedia.org/wiki/File:Iran%20saffron%20threads.jpg
cardamom — Cardamom | Prathyush Thomas | GFDL 1.2 | https://commons.wikimedia.org/wiki/File:Cardamom%20pods%20-%20Green%20BNC.jpg
coriander — Coriander | Sanjay Acharya | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Coriander%20Seeds.jpg
dill — Dill | SA, The Green Ark Bostanie | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Dill%20herbs.jpg
