GuessSync E57 - "Guess the Spider" - Image Attributions
100 real spider (Araneae) photos sourced from Wikimedia Commons / Wikipedia.
All images are Public Domain, CC0, CC BY, CC BY-SA, or FAL. Files under CC BY / CC BY-SA / FAL
require crediting the author + license; the lines below satisfy that requirement.
Generated 2026-07-11. Format:  slug | name | author | license | source
==========================================================================================
tarantula | Tarantula | Carlos Valenzuela | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Brachypelma_vagans_p1.jpg
blackwidow | Black Widow | Unknown | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Latrodectus_mactans_eating.JPG
wolfspider | Wolf Spider | Unknown | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Wolf_spider_tunnel.jpg
jumpingspider | Jumping Spider | Kevincollins123 | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:PlatycryptusUndatusFemale.jpg
daddylonglegs | Daddy Long-legs | Olei | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Pholcus.phalangioides.6905.jpg
gardenspider | Garden Spider | Quartl | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Araneus_diadematus_qtl1.jpg
brownrecluse | Brown Recluse | Rosa Pineda | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Brown_Recluse.jpg
huntsman | Huntsman Spider | JonRichfield | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Sparassidae_Palystes_castaneus_mature_female_9923s.jpg
orbweaver | Orb-weaver | Didier Descouens | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Araneus_diadematus_MHNT_Femelle_Fronton.jpg
boldjumper | Bold Jumping Spider | Kaldari | CC0 | https://commons.wikimedia.org/wiki/File:Kaldari_Phidippus_audax_02.jpg
ghostspider | Ghost Spider | Alexis Lours | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Anyphaena_accentuata_France.jpg
housespider | House Spider | Daniel.fox123 | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Common_House_Spider_2.jpg
redback | Redback Spider | Toby Hudson | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Latrodectus_hasselti_close.jpg
funnelweb | Sydney Funnel-web | hntro | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Atrax_robustus_female_lateral.jpeg
crabspider | Crab Spider | Vengolis | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Crab_Spider_6299.jpg
goldsilkorbweaver | Golden Silk Orb-weaver | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Golden_silk_orb-weaver_spider_Nephila_clavipes)_female.jpg
fishingspider | Fishing Spider | Foto: N.Vėlavičienė | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Dolomedes_fimbriatus.jpg
