GuessSync E48 - "Guess the Tool" - Image Attributions
100 real tool photos sourced from Wikimedia Commons / Wikipedia.
All images are Public Domain, CC0, CC BY, or CC BY-SA. Files under CC BY / CC BY-SA
require crediting the author + license; the lines below satisfy that requirement.
Generated 2026-07-11. Format:  slug | name | author | license | source
============================================================================================
hammer | Hammer | Evan-Amos | Public domain | https://commons.wikimedia.org/wiki/File:Claw-hammer.jpg
screwdriver | Screwdriver | Fcb981 at English Wikipedia | CC BY 2.5 | https://commons.wikimedia.org/wiki/File:Screw_Driver_display.jpg
wrench | Wrench | Theresemk | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Adjustablewrenches.jpg
pliers | Pliers | Honmingjun | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Lineman%27s_Plier.jpg
handsaw | Handsaw | Mnemosine | Public domain | https://commons.wikimedia.org/wiki/File:Pily_platnice.jpg
drill | Power Drill | Reff55 | Public domain | https://commons.wikimedia.org/wiki/File:Tool_Manager_Photo.jpg
tapemeasure | Tape Measure | Klein Tools | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Tape_Measure_25%27_Klein_Tools.jpg
spiritlevel | Spirit Level | aTarom | Public domain | https://commons.wikimedia.org/wiki/File:DetalleNivelDeBurbuja.jpg
chisel | Chisel | Bullenwächter | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Neolithic_chisels_4100-2700_BC.jpg
axe | Axe | タクナワン | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Felling_axe.jpg
shovel | Shovel | SvenPek | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Skovl.jpg
wheelbarrow | Wheelbarrow | Ildar Sagdejev (Specious) | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:2008-07-15_Construction_wheelbarrow_at_Duke.jpg
paintbrush | Paintbrush | Krestavilis at English Wikipedia | Public domain | https://commons.wikimedia.org/wiki/File:Paintbrushes.jpg
ladder | Ladder | Wikideas1 | CC0 | https://commons.wikimedia.org/wiki/File:Ladder.webp
clamp | Clamp | 12akd | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Tools60.jpg
anglegrinder | Angle Grinder | Unknown | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:AngleGrinder.jpg
nailgun | Nail Gun | Boatbuilder | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Nail_gun_008.jpg
scissors | Scissors | Doggerelblogger | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Standard_household_scissors.jpg
utilityknife | Utility Knife | Unknown | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Aaknife2.jpg
pickaxe | Pickaxe | Hyena~commonswiki | Public domain | https://commons.wikimedia.org/wiki/File:Pickaxe.jpg
rake | Rake | Stephencdickson | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Garden_rake_made_from_turned_pear_tree_wood,_made_1560,_Rustkammer_Museum,_Dresden.jpg
