GuessSync E58 - "Guess the Train" - Image Attributions
100 real train/locomotive photos sourced from Wikimedia Commons / Wikipedia.
All images are Public Domain, CC0, CC BY, CC BY-SA, or similar free licenses. Files under
CC BY / CC BY-SA require crediting the author + license; the lines below satisfy that.
Generated 2026-07-11. Format:  slug | name | author | license | source
==========================================================================================
steamlocomotive | Steam Locomotive | Charlie Jackson | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:GWR_0-6-0PT_Steam_Locomotive_(33970113855).jpg
bullettrain | Bullet Train (Shinkansen) | Calvinkulit | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Side_view_of_N700-7000_series_train.jpg
subwaytrain | Subway Train | Mtattrain | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:MTA_NYC_Subway_A_train_arriving_at_168th_St.jpg
freighttrain | Freight Train | Kabelleger / David Gubler | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:CN_8015,_5690_and_5517_Hinton_-_Jasper.jpg
monorail | Monorail | Baycrest | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Chongqing_Rail_Transit_Line_3_Monorail_Train_near_Xuetangwan_Station.jpg
tram | Tram / Streetcar | ŠJů (cs:ŠJů) | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Muzeum_MHD,_tramvaje_T3_8084_a_6149,_zep%C5%99edu.jpg
diesellocomotive | Diesel Locomotive | Andrey Kurmelyov | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:%D0%A7%D0%9C%D0%AD3-2908,_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D0%B0,_%D0%94%D0%BD%D0%B5%D0%BF%D1%80%D0%BE%D0%BF%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C,_%D0%BF%D0%B5%D1%80%D0%B5%D0%B3%D0%BE%D0%BD_%D0%92%D1%81%D1%82%D1%80%D0%B5%D1%87%D0%BD%D1%8B%D0%B9_-_%D0%94%D0%BD%D0%B5%D0%BF%D1%80%D0%BE%D0%BF%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D1%81%D0%BA-%D0%AE%D0%B6%D0%BD%D1%8B%D0%B9_(Trainpix_138895).jpg
highspeedtrain | High-Speed Train | MaedaAkihiko | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:N700a-Mt.Fuji.jpg
cablecar | Cable Car | jjron | GFDL 1.2 | https://commons.wikimedia.org/wiki/File:11_Cable_Car_on_Powell_St_crop,_SF,_CA,_jjron_25.03.2012.jpg
