# GuessSync E46 «Guess the Tree» — photo attributions (Wikimedia Commons)
# slug|name|author|license|source_url
oak|Oak|Bartosz Cuber|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Quercus_robur_-_alone_tree.jpg
pine|Pine|Stefan.lefnaer|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Pinus_sylvestris_sl1.jpg
maple|Maple|James St. John|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Acer_saccharum_(sugar_maple_tree_in_fall_colors)_(Newark,_Ohio,_USA)_(25_October_2024)_2.jpg
willow|Weeping Willow|EgorovaSvetlana|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Willow_Weeping_Salix_Babylonica_Reservoir_park_Brookline_Massachusetts_October_Fall.jpg
birch|Birch|Dominicus Johannes Bergsma|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Solitaire_berk_(Betula)_in_een_prachtig_landschap._Locatie,_natuurgebied_Delleboersterheide_%E2%80%93_Catspoele_03.jpg
baobab|Baobab|Diego Delso|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Baobab_(Adansonia_digitata),_parque_nacional_Makgadikgadi_Pans,_Botsuana,_2018-07-30,_DD_03-08_PAN.jpg
redwood|Coast Redwood|Acroterion|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:US_199_Redwood_Highway.jpg
cherryblossom|Cherry Blossom|Dietmar Rabich|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:M%C3%BCnster,_Park_Sentmaring,_Japanische_Bl%C3%BCtenkirsche_--_2015_--_5714.jpg
apple|Apple|Biswarup Ganguly|CC BY 3.0|https://commons.wikimedia.org/wiki/File:Malus_domestica_-_Apple_Trees_-_Kullu_-_2014-05-09_2199.JPG
bamboo|Bamboo|Jules Verne Times Two|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Bamboo_(Phyllostachys_edulis),_Jardim_da_Funda%C3%A7%C3%A3o_Calouste_Gulbenkian,_Lisbon,_Portugal_julesvernex2.jpg
coconutpalm|Coconut Palm|Manfred Werner|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Koh_Samui_Lipa_Noi2.jpg
fir|Fir|W.carter|Public domain|https://commons.wikimedia.org/wiki/File:Brances_of_a_silver_fir_in_Gullmarsskogen_Nature_Reserve.jpg
olive|Olive|Palauenc05|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Lun_olive_tree_1600_years.jpg
